morpheme_id	word_id	qac_ref	morpheme_index	surface_ar	stem_ar	lemma_ar	root	root_join_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	gender	number	grammatical_case
m-w-s083-a000-w001-01	w-s083-a000-w001	1:1:1:1	1	بِ					P	PREFIX	PREFIX|bi+								
m-w-s083-a000-w001-02	w-s083-a000-w001	1:1:1:2	2	سْمِ	سْمِ	ٱسْم	س م و	سمو	N	STEM	STEM|POS:N|LEM:{som|ROOT:smw|M|GEN								GEN
m-w-s083-a000-w002-01	w-s083-a000-w002	1:1:2:1	1	ٱللَّهِ	ٱللَّهِ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN								GEN
m-w-s083-a000-w003-01	w-s083-a000-w003	1:1:3:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s083-a000-w003-02	w-s083-a000-w003	1:1:3:2	2	رَّحْمَٰنِ	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s083-a000-w004-01	w-s083-a000-w004	1:1:4:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s083-a000-w004-02	w-s083-a000-w004	1:1:4:2	2	رَّحِيمِ	رَّحِيمِ	رَّحِيم	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s083-a001-w001-01	w-s083-a001-w001	83:1:1:1	1	وَيْلٌ	وَيْلٌ	وَيْل			N	STEM	STEM|POS:N|LEM:wayol|M|INDEF|NOM								NOM
m-w-s083-a001-w002-01	w-s083-a001-w002	83:1:2:1	1	لِّ					P	PREFIX	PREFIX|l:P+								
m-w-s083-a001-w002-02	w-s083-a001-w002	83:1:2:2	2	لْ					DET	PREFIX	PREFIX|Al+								
m-w-s083-a001-w002-03	w-s083-a001-w002	83:1:2:3	3	مُطَفِّفِينَ	مُطَفِّفِينَ	مُطَفِّفِين	ط ف ف	طفف	N	STEM	STEM|POS:N|ACT|PCPL|(II)|LEM:muTaf~ifiyn|ROOT:Tff|MP|GEN			ACT	II		M	plural	GEN
m-w-s083-a002-w001-01	w-s083-a002-w001	83:2:1:1	1	ٱلَّذِينَ	ٱلَّذِينَ	ٱلَّذِى			REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MP						M	plural	
m-w-s083-a002-w002-01	w-s083-a002-w002	83:2:2:1	1	إِذَا	إِذَا	إِذَا			T	STEM	STEM|POS:T|LEM:<i*aA								
m-w-s083-a002-w003-01	w-s083-a002-w003	83:2:3:1	1	ٱكْتَالُ	ٱكْتَالُ	ٱكْتَالُ	ك ي ل	كيل	V	STEM	STEM|POS:V|PERF|(VIII)|LEM:{kotaAlu|ROOT:kyl|3MP	PERF			VIII	3	M	plural	
