candidate_id	channel_score	label_hint	ayah_count	root_count	branch_count	edge_count	mean_affinity	density	reciprocal_edge_ratio	strong_rank_ratio	ayahs	roots	top_facets	example_edge
C001	0.8521	oath / swearing / vow / pledge	22	7	12	16	0.06432057	0.2759	1.0	0.8125	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	ء ل ه ء ل ي ء ي ي ح ل ف و ل ي ي د ي ي م ن	kw:oath(68.3392); kw:swearing(48.1671); kw:vow(48.1671); kw:pledge(42.2076); kw:alliance(40.3171); kw:adjuration(34.1547); kw:obligation(33.8345); kw:power(32.7774)	ح ل ف:B001:اليمين والقسم → ي م ن:B003:يمين الحلف
C002	0.8496	body_health_life/reproduction_birth / birth / milk / reproduction	18	15	15	35	0.05542325	0.3333	0.9714	0.6286	1,2,3,4,5,6,7,8,9,11,12,13,14,17,18,20,21,22	ث ل ث ج م ع ح و ر ح ي ي خ ب ر د ر ج د ن و ر ء ي ر ح م ر س ل ر ف ع ع ز ز ع ش ر ك ذ ب و ل د	theme:body_health_life/reproduction_birth(116.3847); kw:birth(49.4984); kw:milk(45.9637); kw:reproduction(40.7946); kw:womb(40.0012); kw:udder(39.7012); kw:pregnancy(38.8817); kw:camel(37.0667)	ر ء ي:B010:ظهور حمل الناقة أو الشاة → ر ف ع:B007:رفع اللبن في الضرع
C003	0.8463	worship / prayer / ritual_belief/religion_worship / blessing	22	7	15	25	0.06394075	0.2941	1.0	0.68	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	ء ل ه ح ي ي س ك ن ص ل و ص ل ي ظ ه ر ق ب ل	kw:worship(112.8598); kw:prayer(68.647); theme:ritual_belief/religion_worship(59.7657); kw:blessing(51.1888); kw:capture(44.0082); kw:devotion(40.0012); kw:hunting(36.2398); kw:bowing(34.1547)	ص ل ي:B001:الصلاة عبادة لازمة → ص ل و:B003:العبادة المخصوصة
C004	0.8457	group / community / spirit / kinship_society/household_community	18	16	17	38	0.06381377	0.2815	0.9737	0.7632	2,3,4,5,6,7,8,9,10,12,13,14,16,18,19,20,21,22	ء ر ض ء م م ت ب ع ج م ع ج ن ن ح ز ب ح ي ي ر ء ي ر س ل ش ط ن ص ي ر ع ش ر ق ب ل ق و م ك ل ل م س س	kw:group(97.084); kw:community(78.6926); kw:spirit(74.4006); theme:kinship_society/household_community(61.9789); kw:people(55.1716); kw:clan(52.5539); kw:society(51.9463); kw:tribe(47.5872)	ق ب ل:B009:جماعة يقبل بعضها على بعض → ع ش ر:B013:جماعة وعشيرة
C005	0.8405	vision / eye / cognition_perception/perception / sight	14	12	12	25	0.058352	0.3788	1.0	0.76	1,2,3,4,5,7,8,11,12,13,14,16,20,22	ب ص ر ج ل س ح د د ح و ر ر ء ي س ب ل ظ ه ر ع ل م غ ض ب ق و م ن ف س و ج د	kw:vision(93.6495); kw:eye(83.8128); theme:cognition_perception/perception(46.12); kw:sight(42.6693); kw:pupil(31.7301); kw:inflammation(29.9889); kw:contrast(28.6095); kw:perception(28.5725)	ب ص ر:B001:إبصار العين → ر ء ي:B001:رؤية العين والبصيرة
C006	0.8392	marriage / gender / woman / courtship	17	12	13	25	0.0556783	0.3247	1.0	0.68	1,3,4,5,6,8,9,10,11,12,13,15,17,18,20,21,22	ج م ع ح د د ح ر ر ر س ل ر ق ب ز و ج س م ع س و ء ص د ق ض ر ر غ ن ي ن ش ز	kw:marriage(124.8824); kw:gender(74.0181); kw:woman(35.1871); kw:courtship(32.5328); kw:virginity(32.5328); kw:sexuality(31.9589); kw:mourning(31.3821); kw:spouse(29.1436)	ر ق ب:B009:الرَّقوب المنتظرة أو المتأخرة → ر س ل:B009:المرأة المراسل
C007	0.8379	testimony / falsehood / emotion_ethics/deception_corruption / fabrication	22	12	16	26	0.06009596	0.2301	0.9615	0.8462	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	ء ل ه ب ر ر خ ب ر ز و ر ش ه د ص د ق ع ز ز ف ع ل ق و ل ك ذ ب ن ب ء و د د	kw:testimony(66.4155); kw:falsehood(65.4624); theme:emotion_ethics/deception_corruption(45.6564); kw:fabrication(44.6404); kw:lie(44.316); kw:religion(43.3422); kw:imposture(38.5491); theme:ritual_belief/religion_worship(38.4208)	ص د ق:B001:صدق القول → ك ذ ب:B001:خلاف الصدق
C008	0.8308	group / community / crowd / society	16	17	17	39	0.06320394	0.2868	0.9487	0.7436	1,2,3,4,5,6,7,8,9,12,13,14,16,18,19,22	ء م م ت ب ع ج د ل ج م ع ج ن ن ح ز ب ح ش ر ح ي ي ز و ر ص ي ر ع ش ر غ ف ر ق ب ل ق و م ك ل ل ن س و ن س ي	kw:group(109.2195); kw:community(78.6926); kw:crowd(63.7919); kw:society(62.3356); theme:kinship_society/household_community(61.9789); kw:tribe(59.4841); kw:people(55.1716); kw:assembly(52.7421)	ق ب ل:B009:جماعة يقبل بعضها على بعض → ع ش ر:B013:جماعة وعشيرة
C009	0.8282	capacity / condition_force_change/capacity_ability / ability / power	15	10	11	17	0.05746995	0.3148	1.0	0.7647	1,2,3,4,5,7,8,9,10,11,12,13,14,21,22	ء ت ي ء ل ي ز ك و ض ر ر ط ع م ط و ع ق ب ل ق و م ق و ي ي د ي	kw:capacity(98.0118); theme:condition_force_change/capacity_ability(81.4682); kw:ability(76.9137); kw:power(54.629); kw:capability(53.6648); kw:adaptation(34.884); kw:compatibility(33.004); kw:propriety(33.004)	ط و ع:B003:الاستطاعة والإطاقة → ء ل ي:B011:الاستطاعة والطاقة
C010	0.8256	tongue / language / speech / expression	17	11	11	17	0.05285301	0.3091	1.0	0.6471	1,2,3,4,5,6,7,8,9,11,12,13,14,18,19,20,22	ب ر ر ب ي ن ح د د ح ص ي ح ل ف ذ ك ر س م ع ش ه د ص و م ق و ل ك ل ل	kw:tongue(64.8028); kw:language(60.6892); kw:speech(56.3049); kw:expression(50.1599); kw:sharpness(40.6505); kw:rhetoric(35.4695); kw:keenness(34.884); kw:noise(27.8525)	ق و ل:B002:اللسان آلة القول → ذ ك ر:B004:جريان الذكر على اللسان
