morpheme_id	word_id	qac_ref	morpheme_index	surface_ar	stem_ar	lemma_ar	root	root_join_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	gender	number	grammatical_case
m-w-s037-a000-w001-01	w-s037-a000-w001	1:1:1:1	1	بِ					P	PREFIX	PREFIX|bi+								
m-w-s037-a000-w001-02	w-s037-a000-w001	1:1:1:2	2	سْمِ	سْمِ	ٱسْم	س م و	سمو	N	STEM	STEM|POS:N|LEM:{som|ROOT:smw|M|GEN								GEN
m-w-s037-a000-w002-01	w-s037-a000-w002	1:1:2:1	1	ٱللَّهِ	ٱللَّهِ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN								GEN
m-w-s037-a000-w003-01	w-s037-a000-w003	1:1:3:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s037-a000-w003-02	w-s037-a000-w003	1:1:3:2	2	رَّحْمَٰنِ	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s037-a000-w004-01	w-s037-a000-w004	1:1:4:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s037-a000-w004-02	w-s037-a000-w004	1:1:4:2	2	رَّحِيمِ	رَّحِيمِ	رَّحِيم	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s037-a001-w001-01	w-s037-a001-w001	37:1:1:1	1	وَ					P	PREFIX	PREFIX|w:P+								
m-w-s037-a001-w001-02	w-s037-a001-w001	37:1:1:2	2	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s037-a001-w001-03	w-s037-a001-w001	37:1:1:3	3	صَّٰٓفَّٰتِ	صَّٰٓفَّٰتِ	صَٰٓفَّٰت	ص ف ف	صفف	N	STEM	STEM|POS:N|ACT|PCPL|LEM:Sa`^f~a`t|ROOT:Sff|FP|GEN			ACT			F	plural	GEN
m-w-s037-a001-w002-01	w-s037-a001-w002	37:1:2:1	1	صَفًّا	صَفًّا	صَفّ	ص ف ف	صفف	N	STEM	STEM|POS:N|VN|LEM:Saf~|ROOT:Sff|M|INDEF|ACC								ACC
m-w-s037-a002-w001-01	w-s037-a002-w001	37:2:1:1	1	فَ					CONJ	PREFIX	PREFIX|f:CONJ+								
m-w-s037-a002-w001-02	w-s037-a002-w001	37:2:1:2	2	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s037-a002-w001-03	w-s037-a002-w001	37:2:1:3	3	زَّٰجِرَٰتِ	زَّٰجِرَٰتِ	زَّٰجِرَٰت	ز ج ر	زجر	N	STEM	STEM|POS:N|ACT|PCPL|LEM:z~a`jira`t|ROOT:zjr|FP|GEN			ACT			F	plural	GEN
m-w-s037-a002-w002-01	w-s037-a002-w002	37:2:2:1	1	زَجْرًا	زَجْرًا	زَجْر	ز ج ر	زجر	N	STEM	STEM|POS:N|VN|LEM:zajor|ROOT:zjr|M|INDEF|ACC								ACC
m-w-s037-a003-w001-01	w-s037-a003-w001	37:3:1:1	1	فَ					CONJ	PREFIX	PREFIX|f:CONJ+								
m-w-s037-a003-w001-02	w-s037-a003-w001	37:3:1:2	2	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s037-a003-w001-03	w-s037-a003-w001	37:3:1:3	3	تَّٰلِيَٰتِ	تَّٰلِيَٰتِ	تَّٰلِيَٰت	ت ل و	تلو	N	STEM	STEM|POS:N|ACT|PCPL|LEM:t~a`liya`t|ROOT:tlw|FP|GEN			ACT			F	plural	GEN
m-w-s037-a003-w002-01	w-s037-a003-w002	37:3:2:1	1	ذِكْرًا	ذِكْرًا	ذِكْر	ذ ك ر	ذكر	N	STEM	STEM|POS:N|VN|LEM:*ikor|ROOT:*kr|M|INDEF|ACC								ACC
m-w-s037-a004-w001-01	w-s037-a004-w001	37:4:1:1	1	إِنَّ	إِنَّ	إِنّ			ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~								ACC
m-w-s037-a004-w002-01	w-s037-a004-w002	37:4:2:1	1	إِلَٰهَ	إِلَٰهَ	إِلَٰه	ء ل ه	ءله	N	STEM	STEM|POS:N|LEM:<ila`h|ROOT:Alh|MS|ACC						M	singular	ACC
m-w-s037-a004-w002-02	w-s037-a004-w002	37:4:2:2	2	كُمْ					PRON	SUFFIX	SUFFIX|PRON:2MP					2	M	plural	
m-w-s037-a004-w003-01	w-s037-a004-w003	37:4:3:1	1	لَ					EMPH	PREFIX	PREFIX|l:EMPH+								
m-w-s037-a004-w003-02	w-s037-a004-w003	37:4:3:2	2	وَٰحِدٌ	وَٰحِدٌ	وَٰحِد	و ح د	وحد	N	STEM	STEM|POS:N|LEM:wa`Hid|ROOT:wHd|MS|INDEF|NOM						M	singular	NOM
m-w-s037-a005-w001-01	w-s037-a005-w001	37:5:1:1	1	رَّبُّ	رَّبُّ	رَبّ	ر ب ب	ربب	N	STEM	STEM|POS:N|LEM:rab~|ROOT:rbb|M|NOM								NOM
m-w-s037-a005-w002-01	w-s037-a005-w002	37:5:2:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s037-a005-w002-02	w-s037-a005-w002	37:5:2:2	2	سَّمَٰوَٰتِ	سَّمَٰوَٰتِ	سَمَآء	س م و	سمو	N	STEM	STEM|POS:N|LEM:samaA^'|ROOT:smw|FP|GEN						F	plural	GEN
m-w-s037-a005-w003-01	w-s037-a005-w003	37:5:3:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s037-a005-w003-02	w-s037-a005-w003	37:5:3:2	2	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s037-a005-w003-03	w-s037-a005-w003	37:5:3:3	3	أَرْضِ	أَرْضِ	أَرْض	ء ر ض	ءرض	N	STEM	STEM|POS:N|LEM:>aroD|ROOT:ArD|F|GEN								GEN
m-w-s037-a005-w004-01	w-s037-a005-w004	37:5:4:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s037-a005-w004-02	w-s037-a005-w004	37:5:4:2	2	مَا	مَا	مَا			REL	STEM	STEM|POS:REL|LEM:maA								
