strong	27:74	Near-parallel: what chests conceal and what is declared are both known.
no value	7:34	Adds an appointed term, not concealment or inward knowledge.
no value	68:18	Does not add a clear route to the focus reading.
medium	28:69	Repeats the chest-concealment/public-declaration pairing after 27:74.
no value	11:24	Contrasts impaired and receptive perception, without the focus's concealment relation.
no value	15:87	Does not add a clear route to the focus reading.
medium	16:23	Pairs secret and public acts with divine knowledge; less specific than chest concealment.
no value	11:11	Its channel membership is not localized to this wording.
medium	22:9	A bodily turning away supplies a parallel posture of avoidance, without divine knowing.
strong	67:13	Directly joins secret/public speech to knowledge of what is within chests.
no value	11:18	Its disclosure channel is not localized to this wording.
weak	39:23	Shows bodily response to revelation, but not concealment or inward knowledge.
medium	36:76	Repeats secret/public content being known, after closer parallels.
weak	11:14	Knowledge is linked to revelation, not to the hidden interior.
medium	64:4	Combines secret/public knowledge with knowledge of chest contents, but repeats the established pattern.
weak	16:19	Repeats secret/public knowledge without the chest or covering image.
weak	2:77	Repeats secret/public knowledge without adding the focus's inward imagery.
no value	11:20	Does not add a clear route to the focus reading.
medium	40:19	Links concealed chest contents to a specifically penetrating knowledge.
no value	11:3	Its concealment channel is not localized to this wording.
weak	35:38	Extends knowledge to the unseen and chest contents, without the conceal/public contrast.
weak	28:70	Return and judgment are related by channel evidence, but not localized to the verse.
no value	21:39	Does not add a clear route to the focus reading.
no value	11:21	Does not add a clear route to the focus reading.
strong	71:7	Uses covering garments within an act of resistant avoidance, sharpening the clothing image.
medium	11:12	Adds the chest as a site of constriction under outward pressure.
medium	3:154	Places unshown inward content and chest contents under divine knowledge.
no value	44:32	Its selection channel is not localized to this wording.
weak	8:43	Knowledge of chest contents appears, but no concealment or disclosure relation is stated.
no value	11:22	Does not add a clear route to the focus reading.
strong	20:7	Sets open speech alongside the secret and what is still more hidden.
no value	11:8	Its timing and enclosing-force channels are not localized to this wording.
medium	27:25	Pairs hidden and public content with divine knowledge, without the chest image.
weak	44:11	The covering is punitive and channel-level, not the focus's concealment act.
medium	40:56	Locates unachieved arrogance in chests, adding a possible inward content.
no value	11:17	Its evidence channel is not localized to this wording.
weak	15:47	Shows a chest as a site of removable inner content, not concealed knowledge.
no value	11:67	Its latent channel is not localized to this wording.
medium	3:118	Contrasts visible speech with what chests hide, though it omits the knowing claim.
weak	12:107	An encompassing arrival is a different covering relation.
no value	37:151	Does not add a clear route to the focus reading.
no value	11:23	Does not add a clear route to the focus reading.
weak	24:58	Clothing marks privacy, but not the focus's concealment and knowledge claim.
no value	11:85	Its latent channel is not localized to this wording.
no value	2:13	Does not add a clear route to the focus reading.
weak	33:2	Channel evidence concerns received direction, not inward concealment.
weak	41:54	Divine encompassingness broadly resonates with inescapable knowledge, but is nonspecific.
no value	11:55	Its latent channel is not localized to this wording.
weak	74:4	Uses garments in a contrary purification context, not as concealment support.
medium	32:6	Pairs the unseen and witnessed, a broad parallel to hidden and disclosed domains.
no value	58:18	Does not add a clear route to the focus reading.
no value	11:51	Its latent channel is not localized to this wording.
no value	2:12	Does not add a clear route to the focus reading.
no value	34:29	Its fixed-appointment channel is unrelated to the focus wording.
weak	67:14	The creator's knowledge supports a broad basis for penetrating knowledge, without the focus relation.
no value	11:64	Its latent channel is not localized to this wording.
no value	2:103	Does not add a clear route to the focus reading.
no value	34:30	Its fixed-appointment channel is unrelated to the focus wording.
weak	7:54	Night covering day is an external covering image, not concealment of inward content.
weak	11:6	Divine knowledge of settled and deposited places broadens scope, not inward hiding.
weak	8:11	A covering that gives reassurance is a different use of covering.
no value	15:5	Its term channels are unrelated to the focus wording.
no value	11:2	Does not add a clear route to the focus reading.
no value	11:94	Its latent channel is not localized to this wording.
no value	83:36	Does not add a clear route to the focus reading.
no value	11:100	Its latent channel is not localized to this wording.
no value	36:44	Does not add a clear route to the focus reading.
no value	11:73	Its latent channel is not localized to this wording.
no value	7:160	Does not add a clear route to the focus reading.
no value	11:120	Its latent channel is not localized to this wording.
no value	80:7	Does not add a clear route to the focus reading.
no value	23:25	Does not add a clear route to the focus reading.
no value	10:98	Does not add a clear route to the focus reading.
no value	2:60	Does not add a clear route to the focus reading.
no value	5:106	Does not add a clear route to the focus reading.
weak	13:3	Night covering day is an external covering image, repeating an already weaker parallel.
medium	31:23	Links return and reporting of deeds with knowledge of chest contents.
weak	47:30	Marks and speech can expose what is otherwise unshown, but no chest knowledge is stated.
no value	40:83	Does not add a clear route to the focus reading.
no value	9:92	Does not add a clear route to the focus reading.
strong	3:29	Directly states that what is hidden or shown in chests is known.
no value	47:18	Does not add a clear route to the focus reading.
medium	3:119	Contrasts outward profession with inward rancor under knowledge of chest contents.
medium	39:7	Knowledge of chest contents accompanies return and reporting, extending accountability.
weak	57:6	Repeats knowledge of chest contents without concealment or disclosure.
no value	6:41	Does not add a clear route to the focus reading.
medium	42:24	Knowledge of chest contents frames the contrast between falsehood and truth.
medium	87:7	Pairs public expression with what is hidden, repeating the disclosure relation.
weak	5:7	Repeats knowledge of chest contents without adding the focus's concealment pattern.
weak	24:64	Broad knowledge and future reporting offer only a general parallel.
no value	2:273	Tail-audit verse does not add a clear route to the focus reading.
no value	17:33	Tail-audit verse does not add a clear route to the focus reading.
no value	7:37	Tail-audit verse does not add a clear route to the focus reading.
no value	56:58	Tail-audit verse does not add a clear route to the focus reading.
no value	41:25	Tail-audit verse does not add a clear route to the focus reading.
