strong	56:92	Reverses the same paired labels, preserving their non-one-way relation.
medium	10:41	Separates liability after takdhib, adding accountable agency to the label.
medium	3:69	Shows attempted idlal returning upon its own agents.
no value	15:57	The vocative overlap adds no route to the focus.
strong	56:45	Supplies the immediate antecedent of mutrafin before the focus classification.
medium	68:26	Adds a loss-of-place reading for dallun without collapsing it into moral failure.
no value	51:31	The vocative overlap adds no route to the focus.
strong	56:46	Supplies persistent israr as a preceding feature of the classified group.
strong	32:10	Joins disappearance in the earth to denial of the meeting, preserving the f02 route.
no value	36:59	The vocative overlap adds no route to the focus.
medium	34:34	Links mutrafin collective refusal to the focused denial pattern.
medium	46:28	Adds the absence of claimed intermediaries as a parallel f02 loss reading.
weak	23:16	Adds resurrection context, but not a distinct reading of the paired labels.
strong	56:47	States the local objection that grounds the group's takdhib.
medium	14:36	Shows idlal through redirected attachment, a distinct directionality route.
medium	15:56	Frames despair as dallun, extending the directional reading.
no value	56:6	Its nearby channel membership adds no focused element.
medium	54:23	Shows takdhib of warnings as an active collective refusal.
medium	3:90	Names intensified kufr with dallun, adding a persistence trajectory.
weak	3:135	Its refusal of israr is only a remote contrast to 56:46.
no value	12:8	The V12 link is contrast evidence only.
no value	39:64	The vocative overlap adds no route to the focus.
medium	56:48	Continues the local resurrection objection through the earlier generations.
weak	21:54	Adds inherited dallun, but only a mixed and general parallel.
weak	23:15	Adds mortality context without a distinct link to the paired labels.
strong	56:49	Establishes the all-generations scope of the local resurrection challenge.
weak	55:42	Generic takdhib is redundant and its V12 support is mixed.
no value	39:31	The shared temporal wording adds no focused route.
weak	17:16	The channel resonance is not localized to the focus reading.
medium	83:32	Preserves the accusatory use of dallun and its possible reversal on the accusers.
no value	4:133	The vocative overlap adds no route to the focus.
strong	56:50	Completes the appointed gathering to which the focus turns.
medium	11:21	Pairs self-loss with the disappearance of fabricated supports.
no value	12:70	Shared particles add no focused route.
no value	56:7	Its channel membership adds no distinct focused element.
no value	42:18	The V12 association is contrast evidence only.
medium	52:11	Marks mukadhdhibin as facing the stated-day consequence, beyond lexical overlap.
weak	17:17	The channel resonance is not localized to the focus reading.
weak	55:49	Reiterated takdhib of signs is redundant after earlier denial cards.
medium	16:86	Shows a direct exposure of kadhb at the collapse of claimed partnership.
strong	56:41	Identifies the wider local group whose fate 56:51 begins to address.
medium	93:7	Preserves a remediable directional sense of dalla alongside the focus's condemnatory use.
strong	67:9	Directly joins takdhib and dallun in a reversed accusation that returns on its speakers.
no value	56:24	Its channel membership adds no distinct focused element.
medium	12:95	Shows dallun as a prior label used to dismiss fresh evidence.
medium	6:24	Joins self-directed kadhb to the loss of fabricated referents.
weak	21:6	The channel resonance adds no localized focused contribution.
weak	55:53	Generic takdhib is redundant and the V12 support is mixed.
medium	56:82	Shows takdhib as a response to received rizq, a distinct active posture.
medium	56:42	Begins the local consequence sequence for the group in view.
weak	77:15	The refrain confirms mukadhdhibin but adds little after prior denial cards.
weak	68:8	Names the deniers as a group, without a distinct reading of the focus.
strong	56:55	Completes the local intake consequence following the focus.
medium	105:2	Adds a route in which a plan is made to fail and lose its direction.
no value	23:34	Shared address wording adds no focused route.
weak	21:11	The channel resonance adds no localized focused contribution.
medium	40:74	Extends f02 through vanished associates and the breakdown of the prior claim.
medium	83:17	Connects ongoing takdhib with its now-present object and outcome.
weak	56:43	Continues the local consequence but is redundant after 56:42.
medium	47:1	Links blocking the path with works losing their destination.
no value	77:46	The shared address wording adds no focused route.
no value	56:26	Its channel membership adds no distinct focused element.
medium	53:2	Distinguishes negated dalla and ghawa as a paired counterpoint to the focus label.
medium	82:9	Defines takdhib as refusal of an already operating reckoning.
weak	11:116	The luxury channel is auxiliary and not word-localized to the focus.
weak	55:69	Generic takdhib is redundant and the V12 support is mixed.
weak	10:69	Fabricating kadhb adds only a broad adjacent denial theme.
weak	56:44	Continues the local consequence but adds little beyond 56:42-43.
weak	77:19	A repeated refrain adds no distinct focused element after 77:15.
no value	26:76	Adds no focused route.
weak	21:13	The luxury channel is auxiliary and not localized to the paired labels.
weak	77:24	A repeated refrain adds no distinct focused element after earlier 77 refrains.
medium	6:66	Shows collective takdhib of al-haqq as public, accountable refusal.
strong	56:52	Begins the specific local food consequence of the addressed group.
medium	96:13	Pairs takdhib with tawalli, adding active turning-away.
no value	16:82	Adds no focused route.
no value	56:90	The contrasting right-hand classification adds no distinct focused reading.
medium	6:39	Sets takdhib and idlal against the sirat, retaining the directional contrast.
no value	15:62	Shared address wording adds no focused route.
weak	77:45	The refrain is redundant; the channel resonance is auxiliary only.
weak	55:28	Generic takdhib is redundant and the V12 support is mixed.
strong	1:7	Sets dallin against a traversable sirat, preserving a route-and-loss reading.
strong	56:53	Continues the specific local consequence of eating from zaqqum.
weak	77:28	The refrain adds little beyond the earlier mukadhdhibin cards.
no value	21:64	Shared address wording adds no focused route.
no value	56:91	The right-hand outcome adds no distinct focused reading.
weak	35:25	Historical takdhib after clear evidence is a broad, redundant parallel.
no value	9:53	Shared address wording adds no focused route.
weak	77:47	The refrain is redundant; the channel resonance is auxiliary only.
weak	39:23	The f02 association is mixed and remains a broad guidance contrast.
medium	54:3	Pairs takdhib with following desires, adding a behavioral trajectory.
medium	6:77	Shows guidance as needed after eliminating false directional candidates.
no value	18:92	Shared sequencing wording adds no focused route.
medium	34:50	Separates self-borne idlal from guidance received through wahy.
medium	71:24	Adds networked, expanding idlal rather than isolated error.
medium	41:52	Frames dallun as widening distance through sustained shiqaq.
medium	34:24	Contrasts being on huda with being in dallun, retaining both spatial readings.
medium	23:48	Makes takdhib a causal entry into the destroyed class.
no value	39:21	Shared sequencing wording adds no focused route.
medium	22:42	Places current takdhib in a recurring collective historical pattern.
strong	56:54	Completes the immediate zaqqum sequence with drinking from al-hamim.
strong	56:56	Names the preceding punishment sequence as their nuzul on yawm al-din.
medium	56:94	Adds the jahim outcome stated after the reversed pair at 56:92.
strong	26:97	Gives a self-confession of dallun tied to leveling others with the Lord.
strong	28:50	Defines extreme dallun through following hawa without huda.
medium	31:6	Shows active idlal from the way through heedless diversion.
medium	36:24	Links taking alternatives in worship to being in dallun mubin.
medium	37:69	Adds inherited dallun as a sustained communal pattern.
medium	38:26	Connects following hawa with being led astray from the way.
medium	43:37	Joins blocking the way with mistakenly supposing oneself guided.
medium	45:23	Links hawa, knowledge, and idlal in a distinct agency-and-sealing pattern.
medium	47:8	Parallels 47:1 by joining kufr to the loss of deeds.
medium	50:5	Shows takdhib of al-haqq at its arrival as a destabilizing refusal.
medium	52:14	Directly identifies the fire as what the addressees used to deny.
strong	54:24	Combines refusal of the messenger with a first-person dallun claim.
strong	67:10	Adds the deniers' own recognition that hearing and reason were not used.
medium	69:49	Explicitly identifies the presence of mukadhdhibin among the hearers.
