morpheme_id	word_id	qac_ref	morpheme_index	surface_ar	stem_ar	lemma_ar	root	root_join_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	gender	number	grammatical_case
m-w-s082-a000-w001-01	w-s082-a000-w001	1:1:1:1	1	بِ					P	PREFIX	PREFIX|bi+								
m-w-s082-a000-w001-02	w-s082-a000-w001	1:1:1:2	2	سْمِ	سْمِ	ٱسْم	س م و	سمو	N	STEM	STEM|POS:N|LEM:{som|ROOT:smw|M|GEN								GEN
m-w-s082-a000-w002-01	w-s082-a000-w002	1:1:2:1	1	ٱللَّهِ	ٱللَّهِ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN								GEN
m-w-s082-a000-w003-01	w-s082-a000-w003	1:1:3:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s082-a000-w003-02	w-s082-a000-w003	1:1:3:2	2	رَّحْمَٰنِ	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s082-a000-w004-01	w-s082-a000-w004	1:1:4:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s082-a000-w004-02	w-s082-a000-w004	1:1:4:2	2	رَّحِيمِ	رَّحِيمِ	رَّحِيم	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s082-a001-w001-01	w-s082-a001-w001	82:1:1:1	1	إِذَا	إِذَا	إِذَا			T	STEM	STEM|POS:T|LEM:<i*aA								
m-w-s082-a001-w002-01	w-s082-a001-w002	82:1:2:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s082-a001-w002-02	w-s082-a001-w002	82:1:2:2	2	سَّمَآءُ	سَّمَآءُ	سَمَآء	س م و	سمو	N	STEM	STEM|POS:N|LEM:samaA^'|ROOT:smw|F|NOM								NOM
m-w-s082-a001-w003-01	w-s082-a001-w003	82:1:3:1	1	ٱنفَطَرَتْ	ٱنفَطَرَتْ	ٱنفَطَرَتْ	ف ط ر	فطر	V	STEM	STEM|POS:V|PERF|(VII)|LEM:{nfaTarato|ROOT:fTr|3FS	PERF			VII	3	F	singular	
m-w-s082-a002-w001-01	w-s082-a002-w001	82:2:1:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s082-a002-w001-02	w-s082-a002-w001	82:2:1:2	2	إِذَا	إِذَا	إِذَا			T	STEM	STEM|POS:T|LEM:<i*aA								
m-w-s082-a002-w002-01	w-s082-a002-w002	82:2:2:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s082-a002-w002-02	w-s082-a002-w002	82:2:2:2	2	كَوَاكِبُ	كَوَاكِبُ	كَوْكَب	ك و ك ب	كوكب	N	STEM	STEM|POS:N|LEM:kawokab|ROOT:kwkb|MP|NOM						M	plural	NOM
m-w-s082-a002-w003-01	w-s082-a002-w003	82:2:3:1	1	ٱنتَثَرَتْ	ٱنتَثَرَتْ	ٱنتَثَرَتْ	ن ث ر	نثر	V	STEM	STEM|POS:V|PERF|(VIII)|LEM:{ntavarato|ROOT:nvr|3FS	PERF			VIII	3	F	singular	
m-w-s082-a003-w001-01	w-s082-a003-w001	82:3:1:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s082-a003-w001-02	w-s082-a003-w001	82:3:1:2	2	إِذَا	إِذَا	إِذَا			T	STEM	STEM|POS:T|LEM:<i*aA								
m-w-s082-a003-w002-01	w-s082-a003-w002	82:3:2:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
