left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C1509	C807	0.761638	0.871986	0.578221	0.633975	0.887815	0.763501	1.0	mutual_knn
C1159	C731	0.744547	0.875413	0.483615	0.68473	0.932824	0.683684	1.0	mutual_knn
C181	C351	0.741386	0.878262	0.544565	0.554452	0.834398	0.729412	0.940067	mutual_knn
C061	C767	0.728681	0.831873	0.539352	0.636881	0.872503	0.775207	0.913907	mutual_knn
C625	C704	0.721877	0.868679	0.497549	0.529623	0.853106	0.672314	1.0	mutual_knn
C040	C596	0.721252	0.739241	0.58192	0.784261	0.986301	0.829326	0.892272	mutual_knn
C1025	C241	0.7205	0.777895	0.516724	0.77694	0.988411	0.740221	0.879456	mutual_knn
C060	C1402	0.718121	0.792749	0.508938	0.727992	0.962659	0.760189	1.0	mutual_knn
C1188	C1371	0.717523	0.863643	0.424989	0.695416	0.886626	0.613412	1.0	mutual_knn
C226	C384	0.714312	0.908477	0.430717	0.441079	0.867508	0.699284	1.0	mutual_knn
C1624	C397	0.710429	0.748095	0.546535	0.753911	0.970301	0.837454	0.877281	mutual_knn
C011	C378	0.709475	0.7453	0.605225	0.609388	0.94319	0.822057	0.859377	mutual_knn
C168	C758	0.705467	0.845367	0.539018	0.421915	0.788862	0.719007	1.0	mutual_knn
C640	C766	0.704485	0.804555	0.524475	0.564397	0.88426	0.71462	0.929845	mutual_knn
C441	C996	0.702057	0.793904	0.520228	0.613373	0.876995	0.68755	1.0	mutual_knn
C020	C025	0.702049	0.773439	0.559221	0.572905	0.902728	0.729072	0.966259	mutual_knn
C1635	C1662	0.697175	0.827817	0.557553	0.403916	0.756089	0.765132	0.930249	mutual_knn
C1457	C1582	0.694462	0.729638	0.548552	0.705537	0.945239	0.789654	1.0	mutual_knn
C217	C285	0.693484	0.770059	0.54552	0.531788	0.916195	0.718486	0.897525	mutual_knn
C021	C188	0.689558	0.772682	0.458964	0.697932	0.957351	0.636437	0.932129	mutual_knn
