left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0840	P2900	0.671271	0.586716	0.624592	0.886411	1.0	0.777778	0.75	mutual_knn
P32650	P39087	0.658884	0.567848	0.632323	0.820394	1.0	0.8	0.75	mutual_knn
P0145	P6436	0.657221	0.594542	0.625571	0.724217	0.983051	0.777778	0.75	mutual_knn
P10113	P15022	0.652515	0.55979	0.610733	0.896311	0.972222	0.777778	0.75	mutual_knn
P0044	P6192	0.651224	0.585081	0.618962	0.730872	0.982143	0.777778	0.75	mutual_knn
P27176	P36456	0.650533	0.570938	0.616242	0.82804	0.95122	0.8	0.75	mutual_knn
P2150	P7409	0.650337	0.580694	0.622388	0.729746	0.982143	0.777778	0.75	mutual_knn
P0548	P7687	0.648172	0.579236	0.617571	0.730901	0.982759	0.777778	0.75	mutual_knn
P7335	P9780	0.648077	0.590715	0.622895	0.72863	0.913793	0.777778	0.75	mutual_knn
P10573	P3481	0.647662	0.573858	0.636473	0.719241	0.947368	0.777778	0.75	mutual_knn
P27238	P35630	0.647151	0.535302	0.64051	0.820862	1.0	0.8	0.75	mutual_knn
P3749	P8192	0.647026	0.552972	0.600292	0.896488	0.984375	0.777778	0.75	mutual_knn
P1081	P3138	0.646621	0.558952	0.589798	0.905152	0.981481	0.777778	0.75	mutual_knn
P27128	P32250	0.646505	0.556077	0.61613	0.825851	0.980392	0.8	0.75	mutual_knn
P0555	P4975	0.645629	0.556554	0.589393	0.907437	0.981481	0.777778	0.75	mutual_knn
P12964	P8301	0.644111	0.575365	0.626042	0.710004	0.95082	0.777778	0.75	mutual_knn
P1163	P5117	0.642732	0.570365	0.622618	0.738114	0.943396	0.777778	0.75	mutual_knn
P1163	P5130	0.642572	0.573461	0.621299	0.70833	0.962264	0.777778	0.75	mutual_knn
P4665	P7801	0.641306	0.580486	0.613205	0.731577	0.923077	0.777778	0.75	mutual_knn
P17779	P23785	0.640232	0.539271	0.620633	0.822989	0.980392	0.8	0.75	mutual_knn
P0633	P6410	0.64023	0.548091	0.588707	0.901731	0.973684	0.777778	0.75	mutual_knn
P1639	P5382	0.639385	0.567571	0.620338	0.702501	0.966102	0.777778	0.75	mutual_knn
P12055	P5506	0.639103	0.551144	0.602786	0.912248	0.888889	0.777778	0.75	mutual_knn
P4508	P9178	0.638721	0.55757	0.626493	0.753217	0.932203	0.777778	0.75	mutual_knn
P13545	P19122	0.638657	0.533766	0.603579	0.872093	1.0	0.75	0.714286	mutual_knn
P12177	P8557	0.638049	0.55651	0.572742	0.885488	0.986111	0.777778	0.75	mutual_knn
P13266	P8131	0.63795	0.54774	0.580607	0.882541	1.0	0.777778	0.75	mutual_knn
P10863	P5912	0.637944	0.567654	0.62882	0.747203	0.876923	0.777778	0.75	mutual_knn
P10209	P12030	0.637535	0.570417	0.601725	0.723268	0.979167	0.777778	0.75	mutual_knn
P20401	P29977	0.636542	0.545053	0.611351	0.840745	0.932203	0.8	0.75	mutual_knn
P0545	P3314	0.636158	0.56504	0.611183	0.715479	0.964286	0.777778	0.75	mutual_knn
P10757	P6793	0.635988	0.550779	0.591064	0.895982	0.916667	0.777778	0.75	mutual_knn
P3988	P6387	0.635269	0.566035	0.605032	0.757688	0.930233	0.777778	0.75	mutual_knn
P16536	P32968	0.63505	0.546742	0.616233	0.840495	0.892857	0.8	0.75	mutual_knn
P3106	P8327	0.634895	0.59079	0.606881	0.582184	0.984127	0.777778	0.75	mutual_knn
P5886	P8683	0.634806	0.544211	0.574549	0.888186	1.0	0.777778	0.75	mutual_knn
P0330	P4491	0.634771	0.568735	0.608336	0.727024	0.932203	0.777778	0.75	mutual_knn
P25510	P34807	0.634619	0.54797	0.592372	0.825541	0.981481	0.8	0.75	mutual_knn
P2231	P3858	0.634448	0.560479	0.616536	0.725056	0.939394	0.777778	0.75	mutual_knn
P4671	P8761	0.63369	0.567368	0.605756	0.744246	0.919355	0.777778	0.75	mutual_knn
P10593	P7371	0.633631	0.572282	0.600476	0.704837	0.954545	0.777778	0.75	mutual_knn
P11485	P1777	0.63361	0.557608	0.612049	0.718031	0.966667	0.777778	0.75	mutual_knn
P5134	P9178	0.633543	0.548663	0.623668	0.73533	0.948276	0.777778	0.75	mutual_knn
P10174	P6918	0.633465	0.55589	0.618219	0.71625	0.953125	0.777778	0.75	mutual_knn
P15347	P32403	0.633316	0.525341	0.614698	0.836912	0.980769	0.8	0.75	mutual_knn
P1045	P7248	0.632697	0.567607	0.598029	0.726141	0.953488	0.777778	0.75	mutual_knn
