left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0132	P0703	0.677175	0.610223	0.663418	0.770452	0.933333	0.777778	0.75	mutual_knn
P1160	P5669	0.672152	0.592803	0.674198	0.758732	0.935484	0.777778	0.75	mutual_knn
P1467	P5197	0.668618	0.594172	0.668051	0.738741	0.935484	0.777778	0.75	mutual_knn
P5760	P8854	0.666763	0.611614	0.616013	0.775196	0.984127	0.777778	0.75	mutual_knn
P12135	P21420	0.663568	0.553448	0.650556	0.868219	1.0	0.8	0.75	mutual_knn
P2141	P5703	0.662651	0.602828	0.641905	0.750443	0.916667	0.777778	0.75	mutual_knn
P2265	P7068	0.659718	0.575548	0.650617	0.730057	1.0	0.777778	0.75	mutual_knn
P6535	P6889	0.655181	0.600645	0.612678	0.722078	0.982456	0.777778	0.75	mutual_knn
P13082	P30114	0.655047	0.611096	0.623668	0.617703	1.0	1.0	1.0	mutual_knn
P4908	P9431	0.653739	0.547036	0.64404	0.821593	1.0	0.8	0.75	mutual_knn
P0966	P5525	0.653669	0.609411	0.635714	0.603823	0.965517	0.777778	0.75	mutual_knn
P16359	P23284	0.652253	0.553837	0.634918	0.808049	1.0	0.8	0.75	mutual_knn
P0729	P3312	0.651418	0.568737	0.645617	0.710826	0.984375	0.777778	0.75	mutual_knn
P3126	P6712	0.650777	0.610471	0.62356	0.578195	1.0	0.777778	0.75	mutual_knn
P2835	P7185	0.650747	0.615267	0.621191	0.58155	0.983051	0.777778	0.75	mutual_knn
P0120	P3054	0.650559	0.57815	0.624379	0.752488	0.966102	0.777778	0.75	mutual_knn
P0660	P5525	0.650324	0.614279	0.637138	0.605779	0.903226	0.777778	0.75	mutual_knn
P2361	P7012	0.649911	0.611595	0.620035	0.612519	0.964286	0.777778	0.75	mutual_knn
P3319	P7012	0.649864	0.606523	0.617294	0.608762	1.0	0.777778	0.75	mutual_knn
P10273	P6729	0.649234	0.587226	0.630534	0.727697	0.915254	0.75	0.714286	mutual_knn
P3182	P7397	0.649208	0.613746	0.619416	0.57981	0.982456	0.777778	0.75	mutual_knn
P3552	P7185	0.648824	0.610212	0.618453	0.577699	1.0	0.777778	0.75	mutual_knn
P1921	P6008	0.648565	0.612613	0.618677	0.596857	0.966667	0.777778	0.75	mutual_knn
P0099	P0655	0.648499	0.58996	0.605859	0.727517	0.982143	0.777778	0.75	mutual_knn
P2755	P6008	0.648276	0.607545	0.615932	0.593049	1.0	0.777778	0.75	mutual_knn
P2933	P5857	0.648104	0.614176	0.619726	0.594364	0.953846	0.777778	0.75	mutual_knn
P0570	P3231	0.647597	0.576212	0.624559	0.715243	0.981818	0.777778	0.75	mutual_knn
P0655	P3265	0.647083	0.57536	0.629153	0.747465	0.932203	0.75	0.714286	mutual_knn
P5641	P9949	0.646272	0.610325	0.612466	0.572633	1.0	0.777778	0.75	mutual_knn
P4317	P8625	0.64561	0.587493	0.597473	0.721223	1.0	0.777778	0.75	mutual_knn
P0654	P3134	0.645184	0.607572	0.614863	0.59964	0.966102	0.777778	0.75	mutual_knn
P2792	P7418	0.644994	0.587693	0.597837	0.712898	1.0	0.777778	0.75	mutual_knn
P17406	P33065	0.644957	0.606907	0.619552	0.603631	0.946429	1.0	1.0	mutual_knn
P1024	P3134	0.644938	0.602481	0.612108	0.595841	1.0	0.777778	0.75	mutual_knn
P5012	P7778	0.644612	0.591245	0.598806	0.707557	0.982143	0.777778	0.75	mutual_knn
P3488	P7579	0.644427	0.609094	0.613701	0.603786	0.951613	0.777778	0.75	mutual_knn
P1071	P4692	0.643869	0.584976	0.605997	0.717056	0.968254	0.777778	0.75	mutual_knn
P21146	P29687	0.643551	0.605079	0.626929	0.601738	0.916667	0.8	0.75	mutual_knn
P18481	P26475	0.643486	0.61297	0.623601	0.592255	0.901639	0.8	0.75	mutual_knn
P3318	P7561	0.643282	0.590412	0.607078	0.754131	0.897059	0.777778	0.75	mutual_knn
P2477	P6729	0.643208	0.605821	0.610941	0.603311	0.964286	0.777778	0.75	mutual_knn
P3449	P6729	0.643171	0.600762	0.608213	0.599541	1.0	0.777778	0.75	mutual_knn
P0504	P4343	0.643107	0.570698	0.623972	0.712923	0.966102	0.75	0.714286	mutual_knn
P6656	P9204	0.64289	0.607058	0.614911	0.562811	0.982143	0.777778	0.75	mutual_knn
P19783	P29635	0.642826	0.570226	0.591142	0.809642	0.983607	0.8	0.75	mutual_knn
P0708	P4772	0.642763	0.600243	0.623186	0.576635	0.96875	0.777778	0.75	mutual_knn
P1098	P1809	0.642748	0.551795	0.642788	0.71052	0.984127	0.777778	0.75	mutual_knn
P0500	P3090	0.642642	0.605853	0.623436	0.613299	0.904762	0.777778	0.75	mutual_knn
P0057	P0501	0.642151	0.586839	0.60152	0.710499	0.964912	0.777778	0.75	mutual_knn
P4490	P8950	0.642019	0.575737	0.596953	0.91651	0.823529	0.777778	0.75	mutual_knn
P13280	P30114	0.641938	0.598357	0.610005	0.609939	0.981818	1.0	1.0	mutual_knn
P3951	P8068	0.641926	0.579953	0.594692	0.728055	1.0	0.777778	0.75	mutual_knn
P2184	P5046	0.641165	0.600242	0.610028	0.575465	1.0	0.777778	0.75	mutual_knn
P14469	P17854	0.640747	0.539846	0.615906	0.822492	1.0	0.8	0.75	mutual_knn
P18882	P20673	0.640591	0.597056	0.619186	0.585338	0.966667	0.8	0.75	mutual_knn
P3023	P7592	0.639544	0.592798	0.623873	0.596015	0.948276	0.777778	0.75	mutual_knn
P0094	P1206	0.639434	0.577202	0.595297	0.730934	0.982456	0.777778	0.75	mutual_knn
P2667	P7188	0.639274	0.598741	0.606665	0.590707	0.984375	0.777778	0.75	mutual_knn
P7444	P8950	0.639241	0.552367	0.578159	0.883201	1.0	0.777778	0.75	mutual_knn
P1696	P5525	0.639235	0.601206	0.62696	0.58933	0.903226	0.777778	0.75	mutual_knn
P17598	P33065	0.639135	0.60327	0.621646	0.63202	0.868852	1.0	1.0	mutual_knn
P12270	P23106	0.638611	0.613384	0.610397	0.586264	0.903226	0.833333	0.8	mutual_knn
P4945	P7974	0.638464	0.605675	0.605475	0.556604	0.983333	0.777778	0.75	mutual_knn
P3680	P8189	0.638458	0.575731	0.605645	0.708521	0.965517	0.777778	0.75	mutual_knn
P1589	P5214	0.637675	0.594861	0.606816	0.606318	0.969697	0.777778	0.75	mutual_knn
P0444	P3421	0.637632	0.59418	0.615538	0.595004	0.953125	0.777778	0.75	mutual_knn
P3852	P7347	0.637328	0.60597	0.606106	0.560128	0.964912	0.777778	0.75	mutual_knn
P6644	P9825	0.637314	0.593139	0.612221	0.595725	0.965517	0.777778	0.75	mutual_knn
P5453	P8069	0.637164	0.598094	0.607031	0.572277	0.983333	0.777778	0.75	mutual_knn
P2975	P5541	0.637088	0.600048	0.608399	0.559118	0.982143	0.777778	0.75	mutual_knn
P7131	P9819	0.637084	0.596903	0.607193	0.577464	0.982143	0.777778	0.75	mutual_knn
P4624	P7751	0.636968	0.590264	0.6165	0.555746	1.0	0.777778	0.75	mutual_knn
P24641	P31127	0.636962	0.594546	0.629931	0.587767	0.901639	0.8	0.75	mutual_knn
P0108	P1895	0.636879	0.575363	0.589216	0.717405	1.0	0.777778	0.75	mutual_knn
P1487	P3212	0.636869	0.600555	0.608216	0.57252	0.964912	0.777778	0.75	mutual_knn
P2623	P6572	0.636823	0.596794	0.601095	0.595771	0.983051	0.777778	0.75	mutual_knn
P0798	P2639	0.63681	0.579747	0.593925	0.711749	0.96875	0.777778	0.75	mutual_knn
P12297	P8607	0.636706	0.602853	0.606313	0.593668	0.938462	0.777778	0.75	mutual_knn
P0179	P0655	0.636608	0.588821	0.603445	0.604327	1.0	0.777778	0.75	mutual_knn
P0260	P2218	0.636373	0.566785	0.592287	0.755581	0.984615	0.777778	0.75	mutual_knn
P2221	P7592	0.636128	0.597323	0.625236	0.597903	0.887097	0.777778	0.75	mutual_knn
P1283	P3364	0.635767	0.573114	0.581944	0.741856	1.0	0.777778	0.75	mutual_knn
P24057	P31630	0.635556	0.602047	0.603634	0.565377	0.968254	0.8	0.75	mutual_knn
P2806	P6632	0.635342	0.591247	0.607793	0.580922	0.984615	0.777778	0.75	mutual_knn
P3597	P7418	0.635085	0.60381	0.614389	0.577087	0.90625	0.777778	0.75	mutual_knn
P3341	P6572	0.634882	0.591697	0.598344	0.591978	1.0	0.777778	0.75	mutual_knn
P0215	P0504	0.634721	0.581893	0.6072	0.603492	1.0	0.777778	0.75	mutual_knn
P0402	P3421	0.634697	0.589228	0.614081	0.593031	0.953125	0.777778	0.75	mutual_knn
P2797	P6400	0.634688	0.594371	0.608971	0.575902	0.964912	0.777778	0.75	mutual_knn
P3586	P6400	0.634562	0.591747	0.609707	0.58387	0.964912	0.777778	0.75	mutual_knn
P4325	P7906	0.634561	0.570317	0.601348	0.730022	0.944444	0.777778	0.75	mutual_knn
P5844	P8532	0.634497	0.596828	0.603979	0.563172	0.982143	0.777778	0.75	mutual_knn
P17361	P23284	0.63447	0.603866	0.60877	0.594965	0.901639	0.8	0.75	mutual_knn
P0400	P2443	0.633955	0.563912	0.593056	0.742641	0.983607	0.777778	0.75	mutual_knn
P2094	P4753	0.633854	0.541621	0.574877	0.889182	1.0	0.777778	0.75	mutual_knn
P1173	P2510	0.633838	0.59708	0.601402	0.564791	0.981818	0.777778	0.75	mutual_knn
P21481	P29242	0.633801	0.59568	0.608421	0.594645	0.933333	0.8	0.75	mutual_knn
P2988	P7494	0.633749	0.589185	0.608341	0.587731	0.969231	0.777778	0.75	mutual_knn
P16590	P3810	0.63363	0.562901	0.583034	0.762628	1.0	0.833333	0.8	mutual_knn
P1449	P3944	0.633491	0.592527	0.599582	0.599419	0.970588	0.777778	0.75	mutual_knn
P10607	P6467	0.63347	0.571672	0.603765	0.723077	0.925926	0.777778	0.75	mutual_knn
P0004	P0592	0.633118	0.577601	0.613968	0.599474	0.983607	0.777778	0.75	mutual_knn
P1075	P4904	0.633063	0.591388	0.607716	0.589992	0.952381	0.777778	0.75	mutual_knn
P19116	P21912	0.633038	0.597367	0.610406	0.587772	0.918033	0.8	0.75	mutual_knn
P1695	P5223	0.633012	0.582914	0.605962	0.601768	0.984375	0.777778	0.75	mutual_knn
P0661	P2525	0.632885	0.581191	0.610708	0.591883	0.984127	0.777778	0.75	mutual_knn
P1687	P3432	0.632656	0.593681	0.603679	0.574902	0.967213	0.777778	0.75	mutual_knn
P1553	P4997	0.632601	0.54852	0.572353	0.911578	0.942857	0.777778	0.75	mutual_knn
P0715	P5801	0.63255	0.563285	0.586981	0.767059	0.969231	0.777778	0.75	mutual_knn
P1007	P3246	0.632431	0.590015	0.60325	0.574257	0.983607	0.777778	0.75	mutual_knn
P1818	P4319	0.632195	0.586284	0.597605	0.592057	1.0	0.777778	0.75	mutual_knn
P2520	P8126	0.632064	0.572025	0.592743	0.705262	0.966667	0.777778	0.75	mutual_knn
P22102	P29284	0.632044	0.558722	0.588017	0.86813	0.88	0.8	0.75	mutual_knn
P0231	P2639	0.632012	0.599644	0.610522	0.590961	0.893939	0.777778	0.75	mutual_knn
P0348	P4592	0.63195	0.598763	0.612468	0.594332	0.887097	0.777778	0.75	mutual_knn
P4824	P6787	0.63192	0.585383	0.605206	0.58288	0.983871	0.777778	0.75	mutual_knn
P11856	P8663	0.631861	0.57633	0.602272	0.705406	0.911765	0.777778	0.75	mutual_knn
