left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0340	P2141	0.667402	0.581563	0.615066	0.904257	1.0	0.777778	0.75	mutual_knn
P1615	P4313	0.654537	0.567477	0.614654	0.87615	0.964286	0.777778	0.75	mutual_knn
P11794	P12523	0.648304	0.538055	0.589083	1.0	1.0	0.714286	0.666667	mutual_knn
P4139	P5182	0.643717	0.549913	0.584108	0.918183	1.0	0.777778	0.75	mutual_knn
P2657	P4954	0.641804	0.575104	0.611524	0.733217	0.956522	0.777778	0.75	mutual_knn
P1245	P4972	0.640883	0.549991	0.584331	0.88871	1.0	0.777778	0.75	mutual_knn
P0976	P3117	0.640146	0.54892	0.579024	0.904732	1.0	0.777778	0.75	mutual_knn
P1389	P3681	0.639713	0.545869	0.601479	0.912469	0.923077	0.777778	0.75	mutual_knn
P0781	P1377	0.639241	0.555725	0.593754	0.913512	0.9	0.777778	0.75	mutual_knn
P1901	P4121	0.638636	0.548493	0.576873	0.89909	1.0	0.777778	0.75	mutual_knn
P0148	P0970	0.635457	0.554348	0.589509	0.832437	0.964286	0.777778	0.75	mutual_knn
P2744	P4849	0.635354	0.552128	0.580602	0.899356	0.9375	0.777778	0.75	mutual_knn
P0221	P4507	0.635342	0.540955	0.591788	0.887862	0.96	0.777778	0.75	mutual_knn
P1406	P4674	0.63513	0.55363	0.584983	0.889451	0.923077	0.777778	0.75	mutual_knn
P4768	P5060	0.634892	0.553359	0.575435	0.890239	0.954545	0.777778	0.75	mutual_knn
P11816	P7855	0.634644	0.551079	0.600258	0.828185	0.9375	0.8	0.75	mutual_knn
P0608	P3439	0.633621	0.547543	0.578056	0.883554	0.965517	0.777778	0.75	mutual_knn
P3740	P5355	0.633488	0.565788	0.606705	0.742287	0.923077	0.777778	0.75	mutual_knn
P1178	P6221	0.632896	0.541898	0.577298	0.917496	0.952381	0.777778	0.75	mutual_knn
P0952	P2980	0.631775	0.567573	0.603947	0.755114	0.894737	0.777778	0.75	mutual_knn
P3264	P5769	0.631567	0.575489	0.608187	0.697316	0.9	0.777778	0.75	mutual_knn
P0692	P3127	0.631542	0.544326	0.579146	0.877401	0.961538	0.777778	0.75	mutual_knn
P1446	P2655	0.629945	0.565606	0.59696	0.764865	0.9	0.777778	0.75	mutual_knn
P1712	P3591	0.629776	0.573235	0.598833	0.751315	0.870968	0.777778	0.75	mutual_knn
P11796	P17135	0.629589	0.550341	0.5883	0.85121	0.909091	0.8	0.75	mutual_knn
P0944	P3681	0.628635	0.560521	0.616738	0.716539	0.888889	0.777778	0.75	mutual_knn
P2396	P4022	0.628579	0.53807	0.58781	0.878566	0.928571	0.777778	0.75	mutual_knn
P11373	P9814	0.62844	0.526691	0.592899	0.839147	1.0	0.8	0.75	mutual_knn
P1224	P4902	0.627756	0.546211	0.572721	0.898423	0.916667	0.777778	0.75	mutual_knn
P0114	P2828	0.627732	0.543233	0.573566	0.916205	0.909091	0.777778	0.75	mutual_knn
P0870	P2944	0.627523	0.534245	0.566956	0.886788	1.0	0.777778	0.75	mutual_knn
P0921	P4646	0.627397	0.545118	0.5686	0.893337	0.9375	0.777778	0.75	mutual_knn
P0975	P4340	0.626331	0.555733	0.5897	0.734275	0.964286	0.777778	0.75	mutual_knn
P0634	P3356	0.626063	0.530947	0.579687	0.913895	0.928571	0.777778	0.75	mutual_knn
P1105	P3883	0.624323	0.532621	0.5699	0.89345	0.958333	0.777778	0.75	mutual_knn
