left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C073	C173	0.665596	0.664081	0.592942	0.627004	0.92972	0.759923	0.833326	mutual_knn
C033	C038	0.649652	0.685451	0.512068	0.614272	0.918796	0.750664	0.935681	mutual_knn
C110	C132	0.647991	0.657288	0.518336	0.65894	0.979525	0.699203	0.91372	mutual_knn
C005	C024	0.646076	0.656728	0.533715	0.639804	0.93617	0.705626	0.847123	mutual_knn
C047	C090	0.641908	0.693352	0.529439	0.563904	0.800095	0.696769	0.852809	mutual_knn
C045	C096	0.632993	0.630817	0.543023	0.676265	0.870515	0.721846	0.860994	mutual_knn
C091	C276	0.632802	0.611738	0.534697	0.708487	0.956748	0.696884	0.760861	mutual_knn
C207	C277	0.631191	0.686126	0.518428	0.482441	0.843551	0.766393	0.880915	mutual_knn
C056	C152	0.62952	0.652351	0.508418	0.616035	0.892149	0.679464	0.83346	mutual_knn
C117	C171	0.627812	0.792504	0.419266	0.366954	0.690849	0.64454	1.0	mutual_knn
C108	C222	0.627209	0.674809	0.519987	0.567929	0.770154	0.76213	0.890615	mutual_knn
C026	C047	0.626982	0.596145	0.537407	0.773171	0.903696	0.70658	0.756161	mutual_knn
C007	C025	0.626808	0.629531	0.530578	0.648241	0.880451	0.701685	0.772821	mutual_knn
C014	C138	0.621112	0.658429	0.480518	0.519255	0.958165	0.7397	0.941372	mutual_knn
C067	C159	0.620568	0.650057	0.457367	0.629836	0.953463	0.629055	1.0	mutual_knn
C234	C244	0.619094	0.587115	0.548401	0.666078	0.944085	0.71168	0.753857	mutual_knn
C026	C090	0.617551	0.635991	0.536623	0.559355	0.826334	0.710481	0.820029	mutual_knn
C002	C033	0.615691	0.63249	0.488631	0.606883	0.921681	0.684642	0.874508	mutual_knn
C057	C065	0.612807	0.674199	0.445238	0.497494	0.92387	0.687919	1.0	mutual_knn
C012	C110	0.605277	0.655529	0.509275	0.430314	0.816982	0.797444	0.869127	mutual_knn
C023	C038	0.605008	0.591446	0.540337	0.630746	0.841096	0.711814	0.787992	mutual_knn
C217	C240	0.603627	0.542975	0.533591	0.752364	0.968254	0.702518	0.723182	mutual_knn
C037	C070	0.60015	0.55995	0.502484	0.736275	0.958017	0.714497	0.790456	mutual_knn
C136	C155	0.599377	0.596575	0.586522	0.433151	0.818182	0.768098	0.788904	mutual_knn
C024	C173	0.596721	0.608322	0.496557	0.496372	0.939558	0.749615	0.846126	mutual_knn
C001	C007	0.594916	0.546987	0.520838	0.695811	0.955899	0.688982	0.707842	mutual_knn
C039	C055	0.593984	0.579075	0.540723	0.587574	0.834727	0.704084	0.741078	mutual_knn
C025	C152	0.592832	0.576886	0.53067	0.591412	0.860465	0.69626	0.798994	mutual_knn
C122	C256	0.590708	0.565099	0.494623	0.651427	0.946291	0.674133	0.797418	mutual_knn
C067	C149	0.590037	0.536041	0.551497	0.616387	0.949289	0.774293	0.753851	mutual_knn
C037	C092	0.589958	0.539053	0.528294	0.640597	0.978839	0.735143	0.746847	mutual_knn
C001	C046	0.589651	0.610867	0.522589	0.479684	0.794719	0.694181	0.878325	mutual_knn
C162	C167	0.588662	0.57545	0.576521	0.443568	0.836242	0.740177	0.742984	mutual_knn
C077	C378	0.583755	0.592222	0.523108	0.363237	0.94388	0.727859	0.887548	mutual_knn
C226	C244	0.58313	0.569605	0.480974	0.632636	0.907719	0.659756	0.786725	mutual_knn
C007	C035	0.582189	0.523138	0.555694	0.622457	0.916667	0.729092	0.815213	mutual_knn
C025	C027	0.582004	0.558647	0.45682	0.716286	0.940064	0.637033	0.717746	mutual_knn
