record_type	focus_ref	target_ref	focus_direction_label	source_direction_label	source_focus_ref	source_target_ref	source_target_component_ref	relation_scope	source_column_order	source_row_role	source_note	source_file	source_line	source_row_sha256
directional_review	3:63	3:32	strong	strong	3:63	3:32	3:32	same_surah	label_target_note	ranked_review	Yuz cevirme, Allah ve elciye itaat baglaminda karsilik bulur; 3:63un hukmunu dogrudan aydinlatir.	focus_3_63_cutoff_100.tsv	1	0aeabbd064472a6fc20039a918c815119915603e4c15ceefe8870e90e6e2829f
directional_review	3:63	3:28	weak	weak	3:63	3:28	3:28	same_surah	label_target_note	ranked_review	Yakın koruyuculuk bagliligin bir yonunu gosterir; yuz cevirme ile baglantisi dolaylidir.	focus_3_63_cutoff_100.tsv	2	495cacc635eb7239d033b38ede1ad1f394daac8f4c4ab4169300272d7502f048
directional_review	3:63	2:227	no value	no value	3:63	2:227	2:227	cross_surah	label_target_note	ranked_review	Ayetin konusu ayrilma karari ve ilahi bilmedir; 3:63teki yuz cevirme ya da bozgunculuk acilmaz.	focus_3_63_cutoff_100.tsv	3	db126543658093aa09fdbd2d10e51b0fb3b64e0bd41bb1ef7110a7bd20ab1bec
directional_review	3:63	3:82	medium	medium	3:63	3:82	3:82	same_surah	label_target_note	ranked_review	Yuz cevirmenin bagdan cikisla iliskisini sinir delili olarak verir; bozgunculuk sonucunu vermez.	focus_3_63_cutoff_100.tsv	4	ce99e453d212db37ca080ec92fbdf00d93f7e11b20018e3fbb4ca6acac188291
directional_review	3:63	2:115	weak	weak	3:63	2:115	2:115	cross_surah	label_target_note	ranked_review	Yonu Allah'a cevirme ifadesi, 3:63teki yuz cevirmenin ters yonunu yalniz lafzen hatirlatir.	focus_3_63_cutoff_100.tsv	5	2977a5249b9e3cf2dca4d2133d09be3e626d32482ca5128ac9149de02c455f6b
directional_review	3:63	3:150	medium	medium	3:63	3:150	3:150	same_surah	label_target_note	ranked_review	Ilahi koruyuculuk, b002nin paralel baglilik yonunu aciklar; 3:63teki bozgunculukla dogrudan bag kurmaz.	focus_3_63_cutoff_100.tsv	6	8cc51a3c847f0dfe3aedd40f3573f1c44ed7b0f43cdc6d3ada774e6402deefbf
directional_review	3:63	2:137	medium	medium	3:63	2:137	2:137	cross_surah	label_target_note	ranked_review	Yuz cevirme burada ayrilik halidir; ilahi bilme ile sonlanmasi 3:63e yakindir.	focus_3_63_cutoff_100.tsv	7	4a267d559d820232c595ce76c32c3d0580c1d1e9d22e169bfcb9a1846796f328
directional_review	3:63	28:4	strong	strong	3:63	28:4	28:4	cross_surah	label_target_note	ranked_review	Bozgunculugun zorbalikla toplumsal duzeni ve soy devamini bozabilecek somut bir gorunumunu verir.	focus_3_63_cutoff_100.tsv	8	90891c64efe9e91df4d0bd22124428b8737b4cad1cb37bf06f0c9d2747e5e869
directional_review	3:63	10:40	medium	medium	3:63	10:40	10:40	cross_surah	label_target_note	ranked_review	Iman etmeme farkliligi yaninda Allahin bozgunculari daha iyi bildigini belirtir.	focus_3_63_cutoff_100.tsv	9	fb56701888a79435f3c0fe22ecda53bde94f1d1216df677d7eda369c16f11a15
directional_review	3:63	2:12	medium	medium	3:63	2:12	2:12	cross_surah	label_target_note	ranked_review	Bozgunculugun kisinin kendi etkisini fark etmeyisiyle birlikte dusunulebilecegini ekler.	focus_3_63_cutoff_100.tsv	10	806dbf5220a12c305e41e17d22f2a95c4be45c209a9cbbb32dd4611b999ed414
directional_review	3:63	5:49	medium	medium	3:63	5:49	5:49	cross_surah	label_target_note	ranked_review	Yuz cevirmenin vahyedilen hukme karsi tavri ve ilahi sonucunu verir; bozgunculuk adi gecmez.	focus_3_63_cutoff_100.tsv	11	826a9a12eddf430eec5610f11b06521519b26aedf1703da8a74c52a8d9578222
directional_review	3:63	47:20	no value	no value	3:63	47:20	47:20	cross_surah	label_target_note	ranked_review	Karsit V12 baglantisi, 3:63 icin olumlu destek saglamayan bir sinirdir.	focus_3_63_cutoff_100.tsv	12	7b4fc34b3419b3d30074d65a431e9c40d12c71ba1017881920319a13bbade5ed
directional_review	3:63	3:92	weak	weak	3:63	3:92	3:92	same_surah	label_target_note	ranked_review	Ilahi bilme ortak olsa da ayet yuz cevirme veya bozgunculuk temasini gelistirmez.	focus_3_63_cutoff_100.tsv	13	8be69834e4c0bd2e5f841958d152d3fdbaa16d686a47b61f872f291995a42491
directional_review	3:63	53:33	weak	weak	3:63	53:33	53:33	cross_surah	label_target_note	ranked_review	Yuz cevirmenin tek basina anilmasi hareketi gosterir; baglam ve sonuc eksiktir.	focus_3_63_cutoff_100.tsv	14	c49f576d312211a0eb4774fe951ede7803f1ba14d1e4fc4bfa8614e7b6915844
directional_review	3:63	47:22	strong	strong	3:63	47:22	47:22	cross_surah	label_target_note	ranked_review	Yuz cevirmenin yeryuzunde bozgunculuk ve akrabalik baglarini koparmaya yayilabilecegini dogrudan baglar.	focus_3_63_cutoff_100.tsv	15	b382c8e1aff41e0867bd4e08fbbe008de8cc0816c2dabd478e5da6a811274130
directional_review	3:63	16:88	medium	medium	3:63	16:88	16:88	cross_surah	label_target_note	ranked_review	Baskalarini Allah yolundan cevirmekle topluma yayilan bozgunculuk arasindaki iliskiyi verir.	focus_3_63_cutoff_100.tsv	16	49f510cf110062b6f2ad2695e97a1098c43bcaf8143344e9c39697a4131663d1
directional_review	3:63	2:246	weak	weak	3:63	2:246	2:246	cross_surah	label_target_note	ranked_review	Taahhutten sonra yuz cevirme gorulur; bozgunculuk yerine zulme dair sonuc vardir.	focus_3_63_cutoff_100.tsv	17	fd410d77e7a07bde438b5b3066438c5d6a44f5ce7cd43b57126ba7da449f77e3
directional_review	3:63	40:26	no value	no value	3:63	40:26	40:26	cross_surah	label_target_note	ranked_review	Karsit baglanti, bozgunculuk isnadinin iktidarca nasil sunulabildigine dair sinir delilidir.	focus_3_63_cutoff_100.tsv	18	26abfb5ffde9c3af9a388c1a77b322ba9cf24803f1511dd10eaf81ab20fe872c
directional_review	3:63	2:215	weak	weak	3:63	2:215	2:215	cross_surah	label_target_note	ranked_review	Yakinlara iyilik ve ilahi bilme vardir; 3:63un yuz cevirme-bozgunculuk bagina uzak kalir.	focus_3_63_cutoff_100.tsv	19	9829ea965cefd50734801882d75937336ccb239647ac4402fe6cd7588557868e
directional_review	3:63	13:25	strong	strong	3:63	13:25	13:25	cross_surah	label_target_note	ranked_review	Ahdi bozma ve baglari kesme, yeryuzundeki bozgunculuga giden birbirine bagli bir surec olarak verilir.	focus_3_63_cutoff_100.tsv	20	4468c685794427b8ca00159e4fd7706fc00da7c119d339450912ab010139ca69
directional_review	3:63	2:205	strong	strong	3:63	2:205	2:205	cross_surah	label_target_note	ranked_review	Yuz cevirme ile yeryuzunde bozgunculuk istemi ayni ayette birlesir; yikimin alanini ekler.	focus_3_63_cutoff_100.tsv	21	aa3934c12461c356b0ebcaece32ec724ed08ecf84d02e59df2fbb01eba21e185
directional_review	3:63	89:12	medium	medium	3:63	89:12	89:12	cross_surah	label_target_note	ranked_review	Bozgunculugun cogaltilan ve sistemli bir hal alabilecegini verir; yuz cevirme baglantisi yoktur.	focus_3_63_cutoff_100.tsv	22	830d135deec5b76ae4a74d39b8d6f49d86b1ab7acb1a0bee6dc45fdabe4af144
directional_review	3:63	12:73	weak	weak	3:63	12:73	12:73	cross_surah	label_target_note	ranked_review	Bozgunculuk isnadina karsi niyet ve davranis savunmasi verir; 3:63un hukmune dolayli kalir.	focus_3_63_cutoff_100.tsv	23	1d80f81b120ad254afe477aa20d3edf55ca4872a9d73a6ae28c798171c75cc04
directional_review	3:63	8:73	medium	medium	3:63	8:73	8:73	cross_surah	label_target_note	ranked_review	Koruyucu baglilik duzeninin yoklugunun buyuk bozgunculuga acilabilecegini gosterir.	focus_3_63_cutoff_100.tsv	24	31267612d24c11d8953a659d8fd722b46dda14d4e98bee1a6d8b415ef9a82b45
directional_review	3:63	2:192	no value	no value	3:63	2:192	2:192	cross_surah	label_target_note	ranked_review	Bitirme halinde bagislanma temasinin 3:63teki yuz cevirme ve bozgunculukla belirgin baglantisi yoktur.	focus_3_63_cutoff_100.tsv	25	c9604b673964efe82e520a86147fd8f3731529c444a503e2f0ad3c1ca677157c
directional_review	3:63	17:4	medium	medium	3:63	17:4	17:4	cross_surah	label_target_note	ranked_review	Bozgunculukla buyuklenme ve egemenlik arasindaki toplumsal oruntuyu verir.	focus_3_63_cutoff_100.tsv	26	4832f3da77cb34d0578e07c226b7abed7cb4be9e34b59cb1066101491be11f03
directional_review	3:63	16:82	medium	medium	3:63	16:82	16:82	cross_surah	label_target_note	ranked_review	Yuz cevirme sonrasinda elcinin gorevinin acik teblig oldugunu belirterek 3:63un hitap baglamini destekler.	focus_3_63_cutoff_100.tsv	27	6fa1b31f38d682e9c4c41a14f5f81132121bfc5aca07cad6500463b311a18ad3
directional_review	3:63	5:56	weak	weak	3:63	5:56	5:56	cross_surah	label_target_note	ranked_review	Olumlu yonelis ve topluluk bagliligi b002ye paraleldir; 3:63teki yuz cevirme sonucuna dolaylidir.	focus_3_63_cutoff_100.tsv	28	e23ee1430cd7c88659e7a25a4438e7e543a53ef0db1c9e8dab0f10e7ce341982
directional_review	3:63	8:40	medium	medium	3:63	8:40	8:40	cross_surah	label_target_note	ranked_review	Yuz cevirenlere ragmen Allahin koruyucu ve yardimci olusunu b002 yonunden aciklar.	focus_3_63_cutoff_100.tsv	29	d3d8c9f79fb05bd38746af2dfe7c4277a6d463d986d7f3fdfae229a1e2f46b16
directional_review	3:63	26:152	medium	medium	3:63	26:152	26:152	cross_surah	label_target_note	ranked_review	Bozgunculugu islah uretmeyen davranis olarak sinirlar; onceki somut bozgunculuk orneklerini tamamlar.	focus_3_63_cutoff_100.tsv	30	47344be9f8097746d8c2c97c379fd527dce5a7486602baf24fea26f58caf5646
directional_review	3:63	22:68	no value	no value	3:63	22:68	22:68	cross_surah	label_target_note	ranked_review	Tartisma karsisinda ilahi bilme vardir, fakat odak temalari acilmaz.	focus_3_63_cutoff_100.tsv	31	21f96c30c05604c6596d5957e9d9e7b93464b09e5011c3c597a00a88c9820857
directional_review	3:63	3:68	medium	medium	3:63	3:68	3:68	same_surah	label_target_note	ranked_review	Yakinligin soyla degil izleme ve imanla kuruldugunu b002nin paralel yonu olarak verir.	focus_3_63_cutoff_100.tsv	32	19f68f069a058c0d9826d7a68c8c2066d3ba0952275cd2be26b331edb42555c6
directional_review	3:63	83:2	weak	weak	3:63	83:2	83:2	cross_surah	label_target_note	ranked_review	Olcude tam alma adaletsizligi imler, fakat 3:63e acik bir bag kurmaz.	focus_3_63_cutoff_100.tsv	33	bb48a93615871e39de778fa96293c802c962912e9d330f93e50069b863635b2c
