record_type	focus_ref	target_ref	focus_direction_label	source_direction_label	source_focus_ref	source_target_ref	source_target_component_ref	relation_scope	source_column_order	source_row_role	source_note	source_file	source_line	source_row_sha256
directional_review	31:2	10:1	strong	strong	31:2	10:1	10:1	cross_surah	label_target_note	ranked_review	It exactly repeats the focus formula, directly presenting the signs as those of the wise Book.	focus_31_2_cutoff_100.tsv	1	300fef53d84037807b88eb9fd827c47253d5631e947062feff66b31e09380244
directional_review	31:2	19:79	weak	weak	31:2	19:79	19:79	cross_surah	label_target_note	ranked_review	The written recording of a speaker's claim concerns accountability, only remotely paralleling the Book's binding form.	focus_31_2_cutoff_100.tsv	2	70d7e0937fe58ac6b570698a86f95660c87d8fdfc1e67dd224a97cf1730d0ebd
directional_review	31:2	10:21	medium	medium	31:2	10:21	10:21	cross_surah	label_target_note	ranked_review	It links signs with human scheming and a written record, adding a response-and-accountability boundary for received evidence.	focus_31_2_cutoff_100.tsv	3	ad2ac584beea910e9945f1daf00a39f93b0f862ae5a9e33bb71dcad1a9f2f724
directional_review	31:2	26:2	strong	strong	31:2	26:2	26:2	cross_surah	label_target_note	ranked_review	Its nearly identical formula directly confirms that distinct signs belong to a single Book.	focus_31_2_cutoff_100.tsv	4	f58150b30f6d7f713e744c31786dc14584b4b3f96bb0b6b77125e86e95d34747
directional_review	31:2	31:3	strong	strong	31:2	31:3	31:3	same_surah	label_target_note	ranked_review	The immediate continuation gives the wise Book's signs their function as guidance and mercy for those who do good.	focus_31_2_cutoff_100.tsv	5	7b44131dd04659bc2743e69c4cd7eca2bde13d0e157d074889bc612187344277
directional_review	31:2	26:103	medium	medium	31:2	26:103	26:103	cross_surah	label_target_note	ranked_review	Calling an event a sign while noting most did not believe adds a useful reception contrast to the focus's signs.	focus_31_2_cutoff_100.tsv	6	a7918e7ec3fdc9871227c5f6fda594be4f7a890dc67180d7a60ee63d151c287e
directional_review	31:2	28:2	medium	medium	31:2	28:2	28:2	cross_surah	label_target_note	ranked_review	It repeats the signs-and-clear-Book formula, though it is already substantially covered by the earlier exact parallels.	focus_31_2_cutoff_100.tsv	7	c995d2dbdd5aa79a1a0f7b28e648e3d21f73fc87c3c055116e17448febceead4
directional_review	31:2	31:5	medium	medium	31:2	31:5	31:5	same_surah	label_target_note	ranked_review	It supplies the local outcome of the preceding guidance: firm direction and success.	focus_31_2_cutoff_100.tsv	8	a2cfa538b153c340bf244d5060ad34b3c187b2202f6f77cf5c4730fd706b5f19
directional_review	31:2	43:4	strong	strong	31:2	43:4	43:4	cross_surah	label_target_note	ranked_review	It explicitly joins the Book with elevated wisdom, closely clarifying the focus's wise-Book designation.	focus_31_2_cutoff_100.tsv	9	b657043fa9222abba8dd0f63cd7cfad6936197d2bd9e838fd21c78eac9f67397
directional_review	31:2	12:1	weak	weak	31:2	12:1	12:1	cross_surah	label_target_note	ranked_review	Its clear-Book formula is a redundant parallel after several closer formulations.	focus_31_2_cutoff_100.tsv	10	069187502518a27990b9bbd19b8fa0696fb8f0f861e1f90d36174398f6098635
