record_type	focus_ref	target_ref	focus_direction_label	source_direction_label	source_focus_ref	source_target_ref	source_target_component_ref	relation_scope	source_column_order	source_row_role	source_note	source_file	source_line	source_row_sha256
directional_review	10:26	2:82	strong	strong	10:26	2:82	2:82	cross_surah	label_target_note	ranked_review	Links faith and righteous action to the same enduring garden belonging.	focus_10_26_cutoff_100.tsv	1	7e22c103217dc8fc290c55a62837ea9d3b7c30aac3a685807cee61f4b147326f
directional_review	10:26	50:31	strong	strong	10:26	50:31	50:31	cross_surah	label_target_note	ranked_review	Adds the garden's nearness and protective setting for the guarded.	focus_10_26_cutoff_100.tsv	2	455d7123dba5e019c503541c8017f6a1f19fa3a969a22d6c8a6c3c2e04bd7ff4
directional_review	10:26	18:2	medium	medium	10:26	18:2	18:2	cross_surah	label_target_note	ranked_review	Connects righteous action with a beautiful recompense.	focus_10_26_cutoff_100.tsv	3	37a333d3672473c0bf82515ba76c6335cf3dda497f55a4c74cf4dba086dc9abc
directional_review	10:26	7:42	strong	strong	10:26	7:42	7:42	cross_surah	label_target_note	ranked_review	Restates enduring garden belonging while adding capacity's limit.	focus_10_26_cutoff_100.tsv	4	2a67bb8b0e3737c98abeb26bb1a581105f3899cc32c3db5e049254d1e6e435ac
directional_review	10:26	10:27	strong	strong	10:26	10:27	10:27	same_surah	label_target_note	ranked_review	Immediate inverse: matched evil recompense, face-covering, humiliation, and fire.	focus_10_26_cutoff_100.tsv	5	7e7e90effd8caeb3c1722caac02ba8dac499e4991b23fe050a0e306e647697b9
directional_review	10:26	34:8	no value	no value	10:26	34:8	34:8	cross_surah	label_target_note	ranked_review	Only a contrast-route boundary; it adds no usable support.	focus_10_26_cutoff_100.tsv	6	b7781c5204601ce88bd3312ff4cc1f5a6978a42788dda3dd4c9e285d17391443
directional_review	10:26	11:23	strong	strong	10:26	11:23	11:23	cross_surah	label_target_note	ranked_review	Restates garden belonging and permanence with humble return to the Lord.	focus_10_26_cutoff_100.tsv	7	210c4ed9398f37723a41e8a20c6df36d4563a803b3900226dea67389064ac89c
directional_review	10:26	10:21	weak	weak	10:26	10:21	10:21	same_surah	label_target_note	ranked_review	Nearby mercy and scheming do not clarify the verse's reward pattern.	focus_10_26_cutoff_100.tsv	8	88c1118b8efe27f4ebb829459fd8f63ba948970c0ca446ff59db48f284c0ec93
directional_review	10:26	70:35	medium	medium	10:26	70:35	70:35	cross_surah	label_target_note	ranked_review	Adds honor within gardens to the protected final condition.	focus_10_26_cutoff_100.tsv	9	d90026ce131b1f23eaaa28e5ad8b87b81d0e5c5c42d2fd755f26404d77a2da89
directional_review	10:26	3:107	strong	strong	10:26	3:107	3:107	cross_surah	label_target_note	ranked_review	Pairs enduring mercy with faces made bright, clarifying the face condition.	focus_10_26_cutoff_100.tsv	10	5fd269f4a5f9a46d07701fbf605f4d70219d49532559360669890f80090643af
directional_review	10:26	50:35	strong	strong	10:26	50:35	50:35	cross_surah	label_target_note	ranked_review	Its mazid directly parallels the verse's added portion.	focus_10_26_cutoff_100.tsv	11	79155c290de66aa44c365e01cb5172b73ead53b79f1a345f3d6bb6578751d41d
directional_review	10:26	16:122	medium	medium	10:26	16:122	16:122	cross_surah	label_target_note	ranked_review	Relates hasanah to a continuing good condition across this life and the next.	focus_10_26_cutoff_100.tsv	12	51b978cb8a73b9b413229d8d300717d27d751fa97b9514a59b2d9da24a1cb23e
directional_review	10:26	21:101	medium	medium	10:26	21:101	21:101	cross_surah	label_target_note	ranked_review	Places al-husna before separation from the opposing outcome.	focus_10_26_cutoff_100.tsv	13	ea31ada7755f64c5173cbad2f4eb372aa2804c3662d1e6707961035e4362888b
directional_review	10:26	10:11	medium	medium	10:26	10:11	10:11	same_surah	label_target_note	ranked_review	Sets haste in evil against good, a limited contrast for the recompense logic.	focus_10_26_cutoff_100.tsv	14	979ba4a453c7e1ef7545e679ae7514e724d80703443b1ccd52e54dcf6bea9d04
directional_review	10:26	44:25	medium	medium	10:26	44:25	44:25	cross_surah	label_target_note	ranked_review	Shows that garden possession alone is not enduring protection.	focus_10_26_cutoff_100.tsv	15	4f557ad74b391857408d22299688c81dd11fb2f2b9e01c19c2fd081d6ffd4217
directional_review	10:26	19:60	medium	medium	10:26	19:60	19:60	cross_surah	label_target_note	ranked_review	Adds repentance, faith, and right action with entry free of injustice.	focus_10_26_cutoff_100.tsv	16	b6ec692ea0db530e19ada1306fbb47560d14d70d65faf1f4a68feb01b1641414
directional_review	10:26	48:7	no value	no value	10:26	48:7	48:7	cross_surah	label_target_note	ranked_review	No clear contribution to reward, faces, or garden belonging.	focus_10_26_cutoff_100.tsv	17	3c33748cce033653941efe4555fd4faa6ea3dd25c36b98759ccd0a1dc5e49a2c
directional_review	10:26	4:86	medium	medium	10:26	4:86	4:86	cross_surah	label_target_note	ranked_review	Models a return that may be better than what was received.	focus_10_26_cutoff_100.tsv	18	16805efaa56fb8a8b5ea985a7f9712e92cb38b9c89d592010de280490972493a
directional_review	10:26	58:17	medium	medium	10:26	58:17	58:17	cross_surah	label_target_note	ranked_review	Supplies the contrary enduring fire belonging after the closer inverse card.	focus_10_26_cutoff_100.tsv	19	720af47384c516e8399649bf498119500a5d1d84e29ca12e7ddb74f4a59fcb26
directional_review	10:26	10:3	no value	no value	10:26	10:3	10:3	same_surah	label_target_note	ranked_review	No clear contribution to the verse's stated reward and outcome.	focus_10_26_cutoff_100.tsv	20	8d9d4c0f7e1ecbbe20c1e172af8fe84ca57c2d454e7057d9e4ac11ccdd12f06c
directional_review	10:26	18:31	strong	strong	10:26	18:31	18:31	cross_surah	label_target_note	ranked_review	Expands the beautiful recompense into enduring garden ease.	focus_10_26_cutoff_100.tsv	21	2526172434280c6b98f95aae61c2e8f9f0f7b892a8a17b6cfc542b71b9c5be21
directional_review	10:26	80:41	strong	strong	10:26	80:41	80:41	cross_surah	label_target_note	ranked_review	Directly supplies qatarah as the contrary face condition.	focus_10_26_cutoff_100.tsv	22	a1a14077552d3a8caad21f46ead5d99003cbe0bd468bb4b2f595086c49582b8f
