record_type	focus_ref	target_ref	focus_direction_label	source_direction_label	source_focus_ref	source_target_ref	source_target_component_ref	relation_scope	source_column_order	source_row_role	source_note	source_file	source_line	source_row_sha256
directional_review	38:82	15:39	strong	strong	38:82	15:39	15:39	cross_surah	label_target_note	ranked_review	Nearly repeats Iblis's declaration to mislead all and adds the earthly beautification strategy.	focus_38_82_cutoff_100.tsv	1	f5519f39ca80837133722069ed7abc80ddbb34460e085e842be828fd816be4f3
directional_review	38:82	15:40	strong	strong	38:82	15:40	15:40	cross_surah	label_target_note	ranked_review	States the same immediate exception: Allah's purified servants lie outside Iblis's intended reach.	focus_38_82_cutoff_100.tsv	2	e964de6165863dacf0e6eb9530e5804c2c22019c00c8979b6b9152545518fbeb
directional_review	38:82	4:165	weak	weak	38:82	4:165	4:165	cross_surah	label_target_note	ranked_review	The messengers' warning removes excuses before the Mighty and Wise, only broadly framing accountable response.	focus_38_82_cutoff_100.tsv	3	112d6813a00deaa6ccc177f9b4d3d68ececd8a12d7c36aec87f7645c31d613db
directional_review	38:82	7:16	medium	medium	38:82	7:16	7:16	cross_surah	label_target_note	ranked_review	Iblis declares that he will ambush people on the straight path, specifying the campaign behind his oath.	focus_38_82_cutoff_100.tsv	4	befca0ebe5709d7053908582f641400654b917058d47d57da46b449b3855961d
directional_review	38:82	38:79	medium	medium	38:82	38:79	38:79	same_surah	label_target_note	ranked_review	The request for reprieve is the immediate precondition for Iblis's subsequent pledge to mislead.	focus_38_82_cutoff_100.tsv	5	0f140f6fd14f9d5029969de5e9fba81fa82c1b65f67fc8d8d592bafc38267741
directional_review	38:82	11:34	no value	no value	38:82	11:34	11:34	cross_surah	label_target_note	ranked_review	Its disputed attribution of misguidance to Allah is contrast-only and does not explain Iblis's agency here.	focus_38_82_cutoff_100.tsv	6	6f22fd91adc32ef795611ca2b9318e66c01f5c024bfb421a937b4f8017798528
directional_review	38:82	37:32	strong	strong	38:82	37:32	37:32	cross_surah	label_target_note	ranked_review	Misguided leaders admit that they misled others because they themselves were astray, directly showing the campaign's transmission.	focus_38_82_cutoff_100.tsv	7	c4479c5729db8ff9e2525b64968c27da8626c7479db4d7f160252c166b01c324
directional_review	38:82	38:83	strong	strong	38:82	38:83	38:83	same_surah	label_target_note	ranked_review	The immediate continuation expressly excludes the purified servants from the universal target claimed at 38:82.	focus_38_82_cutoff_100.tsv	8	fc6c18a6a1d19b9382bef23b0dc333bbfaa5a2b16f573d4d90eadfb1f0992186
directional_review	38:82	3:9	medium	medium	38:82	3:9	3:9	cross_surah	label_target_note	ranked_review	Allah's certain gathering of all people contrasts with Iblis's hostile attempt to draw all into misguidance.	focus_38_82_cutoff_100.tsv	9	3d01b5af9936ad8d3b6237db2723b0b3c2441b482fa2d5fa6e719c802255857b
directional_review	38:82	7:18	strong	strong	38:82	7:18	7:18	cross_surah	label_target_note	ranked_review	It gives the declared outcome for Iblis and those who follow him: Hell filled with them all.	focus_38_82_cutoff_100.tsv	10	5591c4085c022165c6eb40945980f3bb5a83e664025b2277641797c62c407a73
directional_review	38:82	12:80	no value	no value	38:82	12:80	12:80	cross_surah	label_target_note	ranked_review	Private counsel after a failed negotiation does not clarify Iblis's oath, misguidance, or claimed totality.	focus_38_82_cutoff_100.tsv	11	d068830e15a55df9ca1c67746d1b1ec94e8dc139d5e4066d53b09fb358b0a6df
directional_review	38:82	11:66	medium	medium	38:82	11:66	11:66	cross_surah	label_target_note	ranked_review	Divine might saves Salih and the believers, illustrating the effective power invoked in Iblis's oath.	focus_38_82_cutoff_100.tsv	12	f46df74c434fb56abf213c9a09f8db7c1c5360511cd6cabdf0c062c30082d5f0
directional_review	38:82	28:63	strong	strong	38:82	28:63	28:63	cross_surah	label_target_note	ranked_review	Those held liable acknowledge that they misled followers as they themselves had gone astray.	focus_38_82_cutoff_100.tsv	13	752153c8d666d46186fde90cdcc58f37a64edc9c91587288d794483904419be1
directional_review	38:82	38:80	medium	medium	38:82	38:80	38:80	same_surah	label_target_note	ranked_review	Allah's grant of respite immediately enables the time in which Iblis makes his pledge.	focus_38_82_cutoff_100.tsv	14	df5d7b227e1a3a035fb0c29fe678ead9f1cfd852e3ed03731240cdf2ffccda8d
directional_review	38:82	42:29	medium	medium	38:82	42:29	42:29	cross_surah	label_target_note	ranked_review	Allah alone can gather every creature, providing a counterpoint to Iblis's claim over all people.	focus_38_82_cutoff_100.tsv	15	cae71826fb4dbec8d4b874f1c93c044107edfa23cfab25123ed5d018f382d332
directional_review	38:82	6:149	medium	medium	38:82	6:149	6:149	cross_surah	label_target_note	ranked_review	Allah's decisive proof and capacity to guide all delimit any claim that Iblis controls universal guidance.	focus_38_82_cutoff_100.tsv	16	26bf14a72d64bfffd66faf0950b661dd64ebf627dc8610069efd7e148b9bb7ef
directional_review	38:82	38:85	strong	strong	38:82	38:85	38:85	same_surah	label_target_note	ranked_review	The immediate conclusion turns Iblis's followers into the collective with whom Hell will be filled.	focus_38_82_cutoff_100.tsv	17	b7ec596f9f80cbff08a5f8b46546c5915c2f12ccf593eca50b28ebaadefbddc6
directional_review	38:82	22:74	weak	weak	38:82	22:74	22:74	cross_surah	label_target_note	ranked_review	Failure to esteem Allah properly and the assertion of His strength only broadly illuminate the oath by His might.	focus_38_82_cutoff_100.tsv	18	5fd11bbd00c35e805a5d8154d557c56ca47ab28975257834d8f0cf0d9825c0dd
directional_review	38:82	32:13	strong	strong	38:82	32:13	32:13	cross_surah	label_target_note	ranked_review	The stated sentence to fill Hell with jinn and humans all gives the final collective outcome of misguidance.	focus_38_82_cutoff_100.tsv	19	34657e3fa189da17b06994849e4e55ee0bec9cfbd7aa203bf05c3d4ccb8d4e9e
directional_review	38:82	28:62	no value	no value	38:82	28:62	28:62	cross_surah	label_target_note	ranked_review	The question about alleged partners does not develop Iblis's oath or his project of leading astray.	focus_38_82_cutoff_100.tsv	20	9f1a578487dc4325fb76d4a15de4bf7b387db43afa5bf7521c02fc58dc46410b
directional_review	38:82	3:157	no value	no value	38:82	3:157	3:157	cross_surah	label_target_note	ranked_review	Human accumulation of worldly goods has no meaningful relation to misleading all people.	focus_38_82_cutoff_100.tsv	21	23eb49f20374ddffd7d6443b7253442ade14b7bf9628c949369a994c34569d2c
directional_review	38:82	26:49	weak	weak	38:82	26:49	26:49	cross_surah	label_target_note	ranked_review	Pharaoh's threat against all the magicians shares collective scope but not Iblis's misguidance or divine-might relation.	focus_38_82_cutoff_100.tsv	22	301b4da67ecdd3ed503787389d53e40c684bc2f991a88f2b103226b0f8e942ed
directional_review	38:82	38:81	medium	medium	38:82	38:81	38:81	same_surah	label_target_note	ranked_review	It fixes the known time-limit for the respite that precedes Iblis's campaign.	focus_38_82_cutoff_100.tsv	23	7983034ba8eef93c0bd718bb781c9df36023245a344abae83c61bd4942efe091
directional_review	38:82	38:66	strong	strong	38:82	38:66	38:66	same_surah	label_target_note	ranked_review	The nearby declaration that Allah is the Mighty Lord supplies the divine might invoked in Iblis's oath.	focus_38_82_cutoff_100.tsv	24	e3d71caaacc9ddbdaf142650d6d6d09b3c483c036372990a68938fedcd4d7445
directional_review	38:82	26:94	strong	strong	38:82	26:94	26:94	cross_surah	label_target_note	ranked_review	The astray are cast into Hell, displaying the destination of those captured by misguidance.	focus_38_82_cutoff_100.tsv	25	68a0ab68772058e1fe83f907c307a31a723d837b0c2d7970523278d6c3b146c8
directional_review	38:82	38:74	strong	strong	38:82	38:74	38:74	same_surah	label_target_note	ranked_review	Iblis's arrogance and disbelief provide the immediate moral origin of his hostile pledge.	focus_38_82_cutoff_100.tsv	26	59d1725bda50ae29a19030921bc7cd6faeb81bbf430e676f6d43899c8776c4f1
directional_review	38:82	32:6	weak	weak	38:82	32:6	32:6	cross_surah	label_target_note	ranked_review	The pairing of divine might and mercy offers only a broad theological horizon for the oath by might.	focus_38_82_cutoff_100.tsv	27	f77f3a94b0f486a1b1825c325f02657e4c175ce45877595a050a33e27db913d3
directional_review	38:82	14:20	weak	weak	38:82	14:20	14:20	cross_surah	label_target_note	ranked_review	It affirms that no event is difficult for Allah, a general implication of the might Iblis invokes.	focus_38_82_cutoff_100.tsv	28	8609e5ebaecd8d3f3bd641d76c610659f4c234b1d3a6a5257855db6921649030
directional_review	38:82	12:54	no value	no value	38:82	12:54	12:54	cross_surah	label_target_note	ranked_review	The king's selection of Yusuf into office does not clarify the focus's misguidance campaign.	focus_38_82_cutoff_100.tsv	29	a463d7da677352e82b627f1dd9ee6bc27414e10a01b14c435f2e66919e83e73d
directional_review	38:82	45:13	no value	no value	38:82	45:13	45:13	cross_surah	label_target_note	ranked_review	Universal subjection of creation for humanity does not develop Iblis's aim to mislead all.	focus_38_82_cutoff_100.tsv	30	150dd17cd928c892da8e395e8bf42dcfb14d4bf6945a50969d8726772cb7a9ed
directional_review	38:82	35:17	weak	weak	38:82	35:17	35:17	cross_surah	label_target_note	ranked_review	Nothing is difficult for Allah, a general but limited resonance with divine might.	focus_38_82_cutoff_100.tsv	31	3745b86fb5e2d9f40bbbeda741cc64cdcbd7a8644cfafd0a5b20b25ee1028321
directional_review	38:82	38:84	strong	strong	38:82	38:84	38:84	same_surah	label_target_note	ranked_review	The immediate divine oath of truth answers and overrides Iblis's preceding oath.	focus_38_82_cutoff_100.tsv	32	4ff04360101021c30d3313a55286b354a9b85e352f4483cac62db21b3b052461
directional_review	38:82	7:202	strong	strong	38:82	7:202	7:202	cross_surah	label_target_note	ranked_review	Devilish allies continually extend people in error, directly depicting ongoing enticement into misguidance.	focus_38_82_cutoff_100.tsv	33	2c7f1f2caa900165d96e5af53eecc911b5bd4d10044501f0d9e88e041a341ea8
directional_review	38:82	8:63	medium	medium	38:82	8:63	8:63	cross_surah	label_target_note	ranked_review	Allah joins believers' hearts through a might humans cannot produce, countering Iblis's hostile collective project.	focus_38_82_cutoff_100.tsv	34	f406849740d11353d49ac8085f70fc87262df4e56bb7848b91868f6886341b83
directional_review	38:82	38:21	no value	no value	38:82	38:21	38:21	same_surah	label_target_note	ranked_review	The narrative introduction about disputants does not explain the oath or its target.	focus_38_82_cutoff_100.tsv	35	371f3921e681640d25a3b40497d94862eb854a782b995061f3cd4e8b9f2b04a5
directional_review	38:82	63:8	strong	strong	38:82	63:8	63:8	cross_surah	label_target_note	ranked_review	It explicitly assigns all might to Allah, His messenger, and believers, correcting any pretension associated with Iblis's oath.	focus_38_82_cutoff_100.tsv	36	4cc08933eee3443ac77985322ed6a0b55cee5faa88800e981dbc17272cada67a
directional_review	38:82	10:65	strong	strong	38:82	10:65	10:65	cross_surah	label_target_note	ranked_review	All honor and might belong to Allah, directly defining the power by which Iblis swears.	focus_38_82_cutoff_100.tsv	37	a1265eafcf6d502354142563b1066969199f56f41234904a70ae3c6280db8fb4
directional_review	38:82	15:41	medium	medium	38:82	15:41	15:41	cross_surah	label_target_note	ranked_review	Allah's declaration of a straight path supplies the normative path that Iblis seeks to obstruct.	focus_38_82_cutoff_100.tsv	38	42d509e1f3f2767a4edc98f2fa507e1081f7f7d0f2e6f4ba0f89d154ff090920
directional_review	38:82	2:29	no value	no value	38:82	2:29	2:29	cross_surah	label_target_note	ranked_review	Creation of everything on earth for humanity does not clarify the focus reading.	focus_38_82_cutoff_100.tsv	39	b468d5828b31ec6908dd90badfa87d443034e7c511f9e8ec8474555cfe7c3336
directional_review	38:82	11:92	weak	weak	38:82	11:92	11:92	cross_surah	label_target_note	ranked_review	Shuayb contrasts clan prestige with Allah's greater honor, a distant analogue to misplaced claims of might.	focus_38_82_cutoff_100.tsv	40	2c5cdd4acdab024dac659a92ef287e2f665366fee56b23da5e3a3e91bdcbec86
directional_review	38:82	38:78	strong	strong	38:82	38:78	38:78	same_surah	label_target_note	ranked_review	The immediate curse upon Iblis establishes the judgment surrounding his later hostile oath.	focus_38_82_cutoff_100.tsv	41	2604e8a2e8adbb9cc251b127f9ef29e66f41db1347248fd44ab96acd43e0bccc
directional_review	38:82	26:224	strong	strong	38:82	26:224	26:224	cross_surah	label_target_note	ranked_review	It identifies the astray as followers, directly linking following with the state Iblis seeks to produce.	focus_38_82_cutoff_100.tsv	42	1426fe02c8c0f6477fd59e7edb976568a8984c1b411d727f9e330a1c1d339120
directional_review	38:82	15:92	medium	medium	38:82	15:92	15:92	cross_surah	label_target_note	ranked_review	The oath by the Lord to question all provides a related universal, oath-bound accountability frame.	focus_38_82_cutoff_100.tsv	43	65fbbe073920f7b821b550227769096e1a9f5bb4c740f306f881e87e7953128f
directional_review	38:82	38:4	weak	weak	38:82	38:4	38:4	same_surah	label_target_note	ranked_review	The nearby accusation against the warner shows local disbelief but not Iblis's misleading mechanism.	focus_38_82_cutoff_100.tsv	44	1e23d4b6095fc357cd84a5ba4f291e9a94987f560a778c08670ea6e1b673ebbf
directional_review	38:82	35:28	weak	weak	38:82	35:28	35:28	cross_surah	label_target_note	ranked_review	It names Allah Mighty and Forgiving, a broad attribute resonance without a specific campaign relation.	focus_38_82_cutoff_100.tsv	45	15c4c0033df84f79a2279264e8282893f650503b1bc036cc6449a393a13a9d4d
directional_review	38:82	15:43	strong	strong	38:82	15:43	15:43	cross_surah	label_target_note	ranked_review	Hell is appointed for the astray all together, directly developing the consequence of Iblis's project.	focus_38_82_cutoff_100.tsv	46	6135c2c1993c42f06b7f07f5fad174d852da4489121eed07f420b8de8e15beda
directional_review	38:82	15:42	strong	strong	38:82	15:42	15:42	cross_surah	label_target_note	ranked_review	Allah denies Iblis authority over His servants except those who follow him among the astray.	focus_38_82_cutoff_100.tsv	47	185532123770e9d438b010ffe5d633da52d6b4535d4c6446ef54853c7135cb88
directional_review	38:82	2:38	medium	medium	38:82	2:38	2:38	cross_surah	label_target_note	ranked_review	Guidance offered after the common descent establishes the alternative to Iblis's effort to divert people.	focus_38_82_cutoff_100.tsv	48	ebaa1e69aeec2db608d2c630bd23f331d6c362d67ecc1861b9c95c89d2be638a
directional_review	38:82	15:59	no value	no value	38:82	15:59	15:59	cross_surah	label_target_note	ranked_review	The rescue of Lot's household as a whole does not clarify the oath or misguidance.	focus_38_82_cutoff_100.tsv	49	bcd3d903ac2c99bd8ed87a08b079b2e4c90d7f78fc843b47f692efe441aea716
directional_review	38:82	38:5	weak	weak	38:82	38:5	38:5	same_surah	label_target_note	ranked_review	The nearby astonishment at monotheism supplies only local opposition within the surrounding surah.	focus_38_82_cutoff_100.tsv	50	6f8b6d8093eb838a05e7ad31fcb3790a24e4ad63f9c106292b262ffd042ef5f8
directional_review	38:82	2:209	weak	weak	38:82	2:209	2:209	cross_surah	label_target_note	ranked_review	The warning after clear proofs invokes Allah's might but gives no specific account of Iblis's campaign.	focus_38_82_cutoff_100.tsv	51	cebf53d025becb3b938b28f629d24e2c3fb89e0fcc8c4c19e3eb5f8ff03aa52b
directional_review	38:82	4:118	strong	strong	38:82	4:118	4:118	cross_surah	label_target_note	ranked_review	Iblis's vow to take an allotted share of servants directly parallels his declared plan to mislead people.	focus_38_82_cutoff_100.tsv	52	0a70f26f3b1dfb2ccfdf096e06f6bb1d2e10eb42c8af1ea617e08b46da36bb21
directional_review	38:82	33:50	no value	no value	38:82	33:50	33:50	cross_surah	label_target_note	ranked_review	Marriage permissions do not bear on Iblis's oath, authority, or collective target.	focus_38_82_cutoff_100.tsv	53	5184ab448759f524d8b532a2771178f619ea069c6417a0a1773b707b1349671b
directional_review	38:82	26:91	strong	strong	38:82	26:91	26:91	cross_surah	label_target_note	ranked_review	The Blaze is brought into view for the astray, directly locating the fate of those misled.	focus_38_82_cutoff_100.tsv	54	fede915f36690abc2625cffd71a2c6ebed0b7bae954936c0b433ca585aa13e17
directional_review	38:82	15:62	no value	no value	38:82	15:62	15:62	cross_surah	label_target_note	ranked_review	Lot's unfamiliar visitors do not contribute to the focus reading.	focus_38_82_cutoff_100.tsv	55	8ad68e302046aa04f05205887e1d17674108bc27e84ecd492bbca0ccf56e4520
