morpheme_id	word_id	qac_ref	morpheme_index	surface_ar	stem_ar	lemma_ar	root	root_join_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	gender	number	grammatical_case
m-w-s007-a000-w001-01	w-s007-a000-w001	1:1:1:1	1	بِ					P	PREFIX	PREFIX|bi+								
m-w-s007-a000-w001-02	w-s007-a000-w001	1:1:1:2	2	سْمِ	سْمِ	ٱسْم	س م و	سمو	N	STEM	STEM|POS:N|LEM:{som|ROOT:smw|M|GEN								GEN
m-w-s007-a000-w002-01	w-s007-a000-w002	1:1:2:1	1	ٱللَّهِ	ٱللَّهِ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN								GEN
m-w-s007-a000-w003-01	w-s007-a000-w003	1:1:3:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s007-a000-w003-02	w-s007-a000-w003	1:1:3:2	2	رَّحْمَٰنِ	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s007-a000-w004-01	w-s007-a000-w004	1:1:4:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s007-a000-w004-02	w-s007-a000-w004	1:1:4:2	2	رَّحِيمِ	رَّحِيمِ	رَّحِيم	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s007-a002-w001-01	w-s007-a002-w001	7:2:1:1	1	كِتَٰبٌ	كِتَٰبٌ	كِتَٰب	ك ت ب	كتب	N	STEM	STEM|POS:N|LEM:kita`b|ROOT:ktb|M|INDEF|NOM								NOM
m-w-s007-a002-w002-01	w-s007-a002-w002	7:2:2:1	1	أُنزِلَ	أُنزِلَ	أَنزَلَ	ن ز ل	نزل	V	STEM	STEM|POS:V|PERF|PASS|(IV)|LEM:>anzala|ROOT:nzl|3MS	PERF		PASS	IV	3	M	singular	
m-w-s007-a002-w003-01	w-s007-a002-w003	7:2:3:1	1	إِلَيْ	إِلَيْ	إِلَىٰ			P	STEM	STEM|POS:P|LEM:<ilaY`								
m-w-s007-a002-w003-02	w-s007-a002-w003	7:2:3:2	2	كَ					PRON	SUFFIX	SUFFIX|PRON:2MS					2	M	singular	
m-w-s007-a002-w004-01	w-s007-a002-w004	7:2:4:1	1	فَ					REM	PREFIX	PREFIX|f:REM+								
m-w-s007-a002-w004-02	w-s007-a002-w004	7:2:4:2	2	لَا	لَا	لَا			PRO	STEM	STEM|POS:PRO|LEM:laA								
