left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P22924	P30191	0.655082	0.574063	0.616641	0.839597	0.969697	0.8	0.75	mutual_knn
P3529	P7466	0.648684	0.596829	0.606983	0.775031	0.901639	0.777778	0.75	mutual_knn
P2435	P5434	0.645813	0.568463	0.598054	0.893811	0.913043	0.777778	0.75	mutual_knn
P17387	P25970	0.645725	0.556115	0.611247	0.841688	0.973684	0.8	0.75	mutual_knn
P12793	P20086	0.645717	0.568986	0.597245	0.845593	0.960784	0.8	0.75	mutual_knn
P3410	P5684	0.641049	0.538925	0.600341	0.88413	1.0	0.777778	0.75	mutual_knn
P2340	P3373	0.640395	0.552473	0.590236	0.910824	0.941176	0.777778	0.75	mutual_knn
P2495	P6811	0.639937	0.585552	0.600222	0.757357	0.90625	0.777778	0.75	mutual_knn
P4711	P9575	0.639813	0.584272	0.612829	0.732116	0.891892	0.777778	0.75	mutual_knn
P5929	P7003	0.638908	0.544888	0.595834	0.901664	0.95	0.777778	0.75	mutual_knn
P0373	P3452	0.637982	0.586195	0.600311	0.742898	0.897959	0.777778	0.75	mutual_knn
P3393	P8419	0.637762	0.586413	0.599495	0.740526	0.9	0.777778	0.75	mutual_knn
P14924	P21560	0.637074	0.562802	0.5828	0.821057	0.977273	0.8	0.75	mutual_knn
P5881	P7397	0.636985	0.551303	0.579642	0.901902	0.958333	0.777778	0.75	mutual_knn
P2001	P4013	0.636922	0.581875	0.607591	0.733301	0.890909	0.777778	0.75	mutual_knn
P5825	P8077	0.636622	0.560052	0.583709	0.889962	0.913043	0.777778	0.75	mutual_knn
P1292	P7984	0.636255	0.546532	0.589325	0.907191	0.933333	0.777778	0.75	mutual_knn
P4415	P6785	0.634758	0.542111	0.586051	0.898568	0.958333	0.777778	0.75	mutual_knn
P7541	P9619	0.6341	0.538899	0.573717	0.907946	1.0	0.777778	0.75	mutual_knn
P15417	P19287	0.633335	0.538091	0.595643	0.827188	1.0	0.8	0.75	mutual_knn
P1022	P2276	0.632435	0.543848	0.571288	0.913895	0.963636	0.777778	0.75	mutual_knn
P2364	P4867	0.632316	0.550317	0.576173	0.885683	0.944444	0.777778	0.75	mutual_knn
P4280	P8688	0.631806	0.581469	0.604302	0.726739	0.859649	0.777778	0.75	mutual_knn
P5926	P9017	0.631731	0.543462	0.57108	0.903259	0.969697	0.777778	0.75	mutual_knn
P5745	P9772	0.631523	0.560005	0.601443	0.716477	0.973684	0.777778	0.75	mutual_knn
P3314	P5610	0.631373	0.604908	0.615602	0.60371	0.833333	0.777778	0.75	mutual_knn
P0588	P4129	0.63119	0.538834	0.58237	0.880104	0.96875	0.777778	0.75	mutual_knn
P17740	P25750	0.631171	0.531909	0.603402	0.806212	1.0	0.8	0.75	mutual_knn
P14264	P16740	0.631033	0.538109	0.592026	0.816748	1.0	0.8	0.75	mutual_knn
P18814	P23675	0.630587	0.530495	0.599948	0.818826	1.0	0.8	0.75	mutual_knn
P0820	P5161	0.630324	0.592038	0.612003	0.587964	0.909091	0.777778	0.75	mutual_knn
P0290	P4375	0.630316	0.567981	0.616848	0.723411	0.864865	0.777778	0.75	mutual_knn
P2761	P7148	0.629237	0.556811	0.598068	0.714315	0.979167	0.777778	0.75	mutual_knn
P0154	P7098	0.628833	0.56225	0.597792	0.735705	0.930233	0.777778	0.75	mutual_knn
P10846	P8343	0.628707	0.561266	0.597212	0.706839	0.964286	0.777778	0.75	mutual_knn
P20373	P27496	0.628589	0.541329	0.579228	0.822607	1.0	0.8	0.75	mutual_knn
P0511	P7155	0.628497	0.54359	0.568618	0.88711	0.961538	0.777778	0.75	mutual_knn
P19547	P25179	0.627832	0.553797	0.573572	0.817191	0.961538	0.8	0.75	mutual_knn
P11517	P9215	0.627643	0.608665	0.623944	0.590916	0.762712	0.777778	0.75	mutual_knn
P1292	P7435	0.627565	0.566249	0.598448	0.732962	0.9	0.777778	0.75	mutual_knn
P0745	P3662	0.627474	0.59076	0.618949	0.619228	0.830769	0.777778	0.75	mutual_knn
P15016	P19658	0.627399	0.592116	0.626489	0.605433	0.811321	0.8	0.75	mutual_knn
P4584	P6707	0.627084	0.568975	0.583469	0.700569	0.967742	0.777778	0.75	mutual_knn
P15225	P26925	0.626915	0.5167	0.603644	0.831246	1.0	0.8	0.75	mutual_knn
P0627	P4552	0.626675	0.583389	0.600566	0.588694	0.95082	0.777778	0.75	mutual_knn
P0575	P5781	0.626647	0.580345	0.605515	0.607038	0.928571	0.777778	0.75	mutual_knn
P1724	P5760	0.626539	0.570211	0.585101	0.721762	0.929825	0.777778	0.75	mutual_knn
P3118	P7622	0.626519	0.592821	0.603474	0.614966	0.87037	0.777778	0.75	mutual_knn
P0745	P4302	0.626077	0.564332	0.582092	0.748474	0.935484	0.777778	0.75	mutual_knn
