left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0163	P0278	0.64424	0.566094	0.59533	0.888242	0.923077	0.777778	0.75	mutual_knn
P1039	P1466	0.643039	0.567727	0.604179	0.760989	1.0	0.777778	0.75	mutual_knn
P3385	P4762	0.643025	0.530529	0.624056	0.858674	1.0	0.8	0.75	mutual_knn
P0962	P1290	0.641159	0.547129	0.584787	0.902759	1.0	0.777778	0.75	mutual_knn
P0658	P0996	0.639616	0.550859	0.584631	0.871086	1.0	0.777778	0.75	mutual_knn
P0965	P1231	0.639504	0.55674	0.591483	0.896445	0.923077	0.777778	0.75	mutual_knn
P0932	P1444	0.63938	0.574281	0.591871	0.737993	1.0	0.777778	0.75	mutual_knn
P0260	P0569	0.639361	0.545661	0.581306	0.903561	1.0	0.777778	0.75	mutual_knn
P0408	P0934	0.639333	0.572246	0.611429	0.761554	0.916667	0.777778	0.75	mutual_knn
P0668	P1219	0.639186	0.555728	0.586314	0.90565	0.933333	0.777778	0.75	mutual_knn
P0851	P1433	0.636939	0.573629	0.586872	0.734002	1.0	0.777778	0.75	mutual_knn
P0017	P1248	0.63571	0.536532	0.588383	0.883368	1.0	0.777778	0.75	mutual_knn
P0674	P1248	0.634987	0.550518	0.568335	0.883368	1.0	0.777778	0.75	mutual_knn
P0558	P1277	0.631954	0.556553	0.592653	0.90743	0.833333	0.777778	0.75	mutual_knn
P0417	P1265	0.631794	0.549192	0.584508	0.891705	0.909091	0.777778	0.75	mutual_knn
P0140	P1300	0.631766	0.536225	0.598247	0.89412	0.916667	0.777778	0.75	mutual_knn
P0134	P1037	0.631364	0.57821	0.605378	0.746719	0.846154	0.777778	0.75	mutual_knn
P0270	P0537	0.631297	0.542674	0.561137	0.906959	1.0	0.777778	0.75	mutual_knn
P0625	P1215	0.629731	0.549766	0.577767	0.892089	0.909091	0.777778	0.75	mutual_knn
P3184	P4062	0.629354	0.516892	0.605664	0.847707	1.0	0.8	0.75	mutual_knn
P0714	P1189	0.629086	0.561959	0.582185	0.724399	1.0	0.777778	0.75	mutual_knn
P0570	P1111	0.627736	0.536159	0.58576	0.90539	0.909091	0.777778	0.75	mutual_knn
P0965	P1564	0.627536	0.583435	0.593012	0.728208	0.846154	0.777778	0.75	mutual_knn
P0116	P0759	0.627315	0.547901	0.565916	0.910225	0.916667	0.777778	0.75	mutual_knn
P0377	P0903	0.626124	0.569601	0.599879	0.669893	0.928571	0.777778	0.75	mutual_knn
P1085	P1495	0.62579	0.575727	0.576394	0.726669	0.923077	0.777778	0.75	mutual_knn
P2969	P3476	0.62563	0.520277	0.587461	0.858941	1.0	0.8	0.75	mutual_knn
P0008	P0238	0.625489	0.546002	0.586858	0.910544	0.833333	0.777778	0.75	mutual_knn
P0734	P1089	0.625469	0.566101	0.606744	0.750294	0.833333	0.777778	0.75	mutual_knn
P0915	P1501	0.625288	0.56943	0.581747	0.745241	0.909091	0.777778	0.75	mutual_knn
P2982	P4062	0.624394	0.526227	0.577786	0.853666	1.0	0.8	0.75	mutual_knn
P1002	P1676	0.623939	0.551775	0.617599	0.748649	0.846154	0.777778	0.75	mutual_knn
P0455	P1261	0.623791	0.542703	0.567769	0.885482	0.923077	0.777778	0.75	mutual_knn
P0680	P0824	0.623774	0.51172	0.57766	0.913184	1.0	0.777778	0.75	mutual_knn
P0311	P1472	0.62367	0.524219	0.594263	0.897799	0.9	0.75	0.714286	mutual_knn
P3678	P4886	0.623413	0.525587	0.575394	0.855108	1.0	0.8	0.75	mutual_knn
P0741	P1473	0.62327	0.559126	0.605623	0.763619	0.833333	0.777778	0.75	mutual_knn
P0173	P0702	0.623109	0.568899	0.617111	0.741921	0.769231	0.777778	0.75	mutual_knn
P0960	P1445	0.622976	0.537477	0.557929	0.858362	1.0	0.777778	0.75	mutual_knn
P0729	P1056	0.621853	0.526289	0.587202	0.878355	0.916667	0.777778	0.75	mutual_knn
P0937	P1078	0.621766	0.534952	0.552235	0.877551	1.0	0.777778	0.75	mutual_knn
P0600	P1181	0.621536	0.566013	0.600155	0.721606	0.846154	0.777778	0.75	mutual_knn
P0125	P0769	0.621289	0.566539	0.598847	0.721351	0.846154	0.777778	0.75	mutual_knn
P2679	P3925	0.620892	0.519162	0.576799	0.853893	1.0	0.8	0.75	mutual_knn
P0776	P1408	0.620236	0.547378	0.597683	0.72419	0.923077	0.777778	0.75	mutual_knn
P3293	P3777	0.620106	0.524806	0.569111	0.84754	1.0	0.8	0.75	mutual_knn
P0706	P0747	0.619736	0.535105	0.546646	0.876133	1.0	0.777778	0.75	mutual_knn
P0120	P0930	0.619553	0.532093	0.592991	0.725643	1.0	0.777778	0.75	mutual_knn
P0978	P1556	0.619471	0.570756	0.612829	0.712172	0.769231	0.777778	0.75	mutual_knn
P0425	P1028	0.619412	0.556081	0.596752	0.745976	0.857143	0.777778	0.75	mutual_knn
P0675	P0801	0.61936	0.525131	0.567502	0.844251	1.0	0.7	0.666667	mutual_knn
P1083	P1418	0.619333	0.567736	0.60318	0.74961	0.777778	0.777778	0.75	mutual_knn
P0126	P0768	0.619312	0.548369	0.592767	0.734115	0.916667	0.777778	0.75	mutual_knn
P0583	P0617	0.619159	0.532221	0.567687	0.900604	0.909091	0.777778	0.75	mutual_knn
