morpheme_id	word_id	qac_ref	morpheme_index	surface_ar	stem_ar	lemma_ar	root	root_join_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	gender	number	grammatical_case
m-w-s046-a000-w001-01	w-s046-a000-w001	1:1:1:1	1	بِ					P	PREFIX	PREFIX|bi+								
m-w-s046-a000-w001-02	w-s046-a000-w001	1:1:1:2	2	سْمِ	سْمِ	ٱسْم	س م و	سمو	N	STEM	STEM|POS:N|LEM:{som|ROOT:smw|M|GEN								GEN
m-w-s046-a000-w002-01	w-s046-a000-w002	1:1:2:1	1	ٱللَّهِ	ٱللَّهِ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN								GEN
m-w-s046-a000-w003-01	w-s046-a000-w003	1:1:3:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s046-a000-w003-02	w-s046-a000-w003	1:1:3:2	2	رَّحْمَٰنِ	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s046-a000-w004-01	w-s046-a000-w004	1:1:4:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s046-a000-w004-02	w-s046-a000-w004	1:1:4:2	2	رَّحِيمِ	رَّحِيمِ	رَّحِيم	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s046-a002-w001-01	w-s046-a002-w001	46:2:1:1	1	تَنزِيلُ	تَنزِيلُ	تَنزِيل	ن ز ل	نزل	N	STEM	STEM|POS:N|VN|(II)|LEM:tanziyl|ROOT:nzl|M|NOM				II				NOM
m-w-s046-a002-w002-01	w-s046-a002-w002	46:2:2:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s046-a002-w002-02	w-s046-a002-w002	46:2:2:2	2	كِتَٰبِ	كِتَٰبِ	كِتَٰب	ك ت ب	كتب	N	STEM	STEM|POS:N|LEM:kita`b|ROOT:ktb|M|GEN								GEN
m-w-s046-a002-w003-01	w-s046-a002-w003	46:2:3:1	1	مِنَ	مِنَ	مِن			P	STEM	STEM|POS:P|LEM:min								
m-w-s046-a002-w004-01	w-s046-a002-w004	46:2:4:1	1	ٱللَّهِ	ٱللَّهِ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN								GEN
m-w-s046-a002-w005-01	w-s046-a002-w005	46:2:5:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s046-a002-w005-02	w-s046-a002-w005	46:2:5:2	2	عَزِيزِ	عَزِيزِ	عَزِيز	ع ز ز	عزز	ADJ	STEM	STEM|POS:ADJ|LEM:Eaziyz|ROOT:Ezz|MS|GEN						M	singular	GEN
m-w-s046-a002-w006-01	w-s046-a002-w006	46:2:6:1	1	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s046-a002-w006-02	w-s046-a002-w006	46:2:6:2	2	حَكِيمِ	حَكِيمِ	حَكِيم	ح ك م	حكم	ADJ	STEM	STEM|POS:ADJ|LEM:Hakiym|ROOT:Hkm|MS|GEN						M	singular	GEN
m-w-s046-a003-w001-01	w-s046-a003-w001	46:3:1:1	1	مَا	مَا	مَا			NEG	STEM	STEM|POS:NEG|LEM:maA								
m-w-s046-a003-w002-01	w-s046-a003-w002	46:3:2:1	1	خَلَقْ	خَلَقْ	خَلَقَ	خ ل ق	خلق	V	STEM	STEM|POS:V|PERF|LEM:xalaqa|ROOT:xlq|1P	PERF				1		plural	
m-w-s046-a003-w002-02	w-s046-a003-w002	46:3:2:2	2	نَا					PRON	SUFFIX	SUFFIX|PRON:1P					1		plural	
m-w-s046-a003-w003-01	w-s046-a003-w003	46:3:3:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s046-a003-w003-02	w-s046-a003-w003	46:3:3:2	2	سَّمَٰوَٰتِ	سَّمَٰوَٰتِ	سَمَآء	س م و	سمو	N	STEM	STEM|POS:N|LEM:samaA^'|ROOT:smw|FP|GEN						F	plural	GEN
m-w-s046-a003-w004-01	w-s046-a003-w004	46:3:4:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s046-a003-w004-02	w-s046-a003-w004	46:3:4:2	2	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s046-a003-w004-03	w-s046-a003-w004	46:3:4:3	3	أَرْضَ	أَرْضَ	أَرْض	ء ر ض	ءرض	N	STEM	STEM|POS:N|LEM:>aroD|ROOT:ArD|F|ACC								ACC
m-w-s046-a003-w005-01	w-s046-a003-w005	46:3:5:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s046-a003-w005-02	w-s046-a003-w005	46:3:5:2	2	مَا	مَا	مَا			REL	STEM	STEM|POS:REL|LEM:maA								
m-w-s046-a003-w006-01	w-s046-a003-w006	46:3:6:1	1	بَيْنَ	بَيْنَ	بَيْن	ب ي ن	بين	LOC	STEM	STEM|POS:LOC|LEM:bayon|ROOT:byn|ACC								ACC
m-w-s046-a003-w006-02	w-s046-a003-w006	46:3:6:2	2	هُمَآ					PRON	SUFFIX	SUFFIX|PRON:3D					3		dual	
m-w-s046-a003-w007-01	w-s046-a003-w007	46:3:7:1	1	إِلَّا	إِلَّا	إِلَّا			RES	STEM	STEM|POS:RES|LEM:<il~aA								
m-w-s046-a003-w008-01	w-s046-a003-w008	46:3:8:1	1	بِ					P	PREFIX	PREFIX|bi+								
m-w-s046-a003-w008-02	w-s046-a003-w008	46:3:8:2	2	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s046-a003-w008-03	w-s046-a003-w008	46:3:8:3	3	حَقِّ	حَقِّ	حَقّ	ح ق ق	حقق	N	STEM	STEM|POS:N|LEM:Haq~|ROOT:Hqq|M|GEN								GEN
m-w-s046-a003-w009-01	w-s046-a003-w009	46:3:9:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s046-a003-w009-02	w-s046-a003-w009	46:3:9:2	2	أَجَلٍ	أَجَلٍ	أَجَل	ء ج ل	ءجل	N	STEM	STEM|POS:N|LEM:>ajal|ROOT:Ajl|M|INDEF|GEN								GEN
m-w-s046-a003-w010-01	w-s046-a003-w010	46:3:10:1	1	مُّسَمًّى	مُّسَمًّى	مُّسَمًّى	س م و	سمو	N	STEM	STEM|POS:N|PASS|PCPL|(II)|LEM:m~usam~FY|ROOT:smw|M|INDEF|GEN			PASS	II				GEN
m-w-s046-a003-w011-01	w-s046-a003-w011	46:3:11:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s046-a003-w011-02	w-s046-a003-w011	46:3:11:2	2	ٱلَّذِينَ	ٱلَّذِينَ	ٱلَّذِى			REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MP						M	plural	
m-w-s046-a003-w012-01	w-s046-a003-w012	46:3:12:1	1	كَفَرُ	كَفَرُ	كَفَرَ	ك ف ر	كفر	V	STEM	STEM|POS:V|PERF|LEM:kafara|ROOT:kfr|3MP	PERF				3	M	plural	
m-w-s046-a003-w012-02	w-s046-a003-w012	46:3:12:2	2	وا۟					PRON	SUFFIX	SUFFIX|PRON:3MP					3	M	plural	
m-w-s046-a003-w013-01	w-s046-a003-w013	46:3:13:1	1	عَ	عَ	عَن			P	STEM	STEM|POS:P|LEM:Ean								
m-w-s046-a003-w013-02	w-s046-a003-w013	46:3:13:2	2	مَّآ	مَّآ	مَا			REL	STEM	STEM|POS:REL|LEM:maA								
m-w-s046-a003-w014-01	w-s046-a003-w014	46:3:14:1	1	أُنذِرُ	أُنذِرُ	أَنذَرَ	ن ذ ر	نذر	V	STEM	STEM|POS:V|PERF|PASS|(IV)|LEM:>an*ara|ROOT:n*r|3MP	PERF		PASS	IV	3	M	plural	
m-w-s046-a003-w014-02	w-s046-a003-w014	46:3:14:2	2	وا۟					PRON	SUFFIX	SUFFIX|PRON:3MP					3	M	plural	
