left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0553	P0831	0.650077	0.553142	0.605795	0.891345	1.0	0.777778	0.75	mutual_knn
P1552	P2286	0.648636	0.563047	0.609508	0.819369	1.0	0.8	0.75	mutual_knn
P0379	P0490	0.645101	0.557119	0.586505	0.891213	1.0	0.777778	0.75	mutual_knn
P0379	P0517	0.640448	0.564093	0.566662	0.882742	1.0	0.777778	0.75	mutual_knn
P0188	P0511	0.639649	0.551467	0.593822	0.947627	0.888889	0.777778	0.75	mutual_knn
P1676	P2438	0.637684	0.585168	0.597367	0.819463	0.833333	0.8	0.75	mutual_knn
P0379	P0620	0.63669	0.555462	0.564602	0.891213	1.0	0.777778	0.75	mutual_knn
P0201	P0669	0.636184	0.564707	0.578281	0.907783	0.888889	0.777778	0.75	mutual_knn
P0541	P0727	0.633397	0.566591	0.588256	0.725412	1.0	0.777778	0.75	mutual_knn
P0281	P0588	0.632763	0.537908	0.572158	0.904494	1.0	0.777778	0.75	mutual_knn
P0372	P0687	0.632611	0.541231	0.572218	0.887805	1.0	0.777778	0.75	mutual_knn
P0022	P0754	0.632288	0.550585	0.587167	0.901279	0.888889	0.777778	0.75	mutual_knn
P1416	P2267	0.632081	0.564538	0.605341	0.861697	0.8	0.8	0.75	mutual_knn
P0457	P0511	0.631862	0.539514	0.586939	0.947627	0.888889	0.777778	0.75	mutual_knn
P0639	P0836	0.631346	0.551604	0.585568	0.892865	0.888889	0.777778	0.75	mutual_knn
P0083	P0617	0.630764	0.550444	0.583532	0.888284	0.9	0.777778	0.75	mutual_knn
P1637	P1715	0.6304	0.547794	0.572499	0.835182	1.0	0.8	0.75	mutual_knn
P0262	P0734	0.630191	0.526159	0.587107	0.879313	1.0	0.777778	0.75	mutual_knn
P0106	P0490	0.630183	0.544416	0.567795	0.864671	1.0	0.777778	0.75	mutual_knn
P0116	P0558	0.629354	0.554524	0.570959	0.899828	0.9	0.777778	0.75	mutual_knn
P0072	P0576	0.629129	0.525835	0.573343	0.918333	1.0	0.777778	0.75	mutual_knn
P0190	P0511	0.628877	0.537498	0.581003	0.947627	0.888889	0.777778	0.75	mutual_knn
P0459	P0705	0.628495	0.530135	0.572062	0.897129	1.0	0.777778	0.75	mutual_knn
P0337	P0707	0.627633	0.5519	0.577572	0.871271	0.9	0.777778	0.75	mutual_knn
P0430	P0579	0.627168	0.547899	0.576032	0.901137	0.888889	0.777778	0.75	mutual_knn
P0523	P0747	0.627101	0.542208	0.584492	0.896465	0.888889	0.777778	0.75	mutual_knn
P0234	P0561	0.627064	0.546649	0.560432	0.949206	0.9	0.777778	0.75	mutual_knn
P0273	P0547	0.626815	0.544931	0.581836	0.904533	0.875	0.777778	0.75	mutual_knn
P0047	P0624	0.626507	0.545138	0.574669	0.925603	0.875	0.777778	0.75	mutual_knn
P0095	P0160	0.625957	0.527593	0.568323	0.896267	1.0	0.777778	0.75	mutual_knn
