morpheme_id	word_id	qac_ref	morpheme_index	surface_ar	stem_ar	lemma_ar	root	root_join_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	gender	number	grammatical_case
m-w-s048-a000-w001-01	w-s048-a000-w001	1:1:1:1	1	بِ					P	PREFIX	PREFIX|bi+								
m-w-s048-a000-w001-02	w-s048-a000-w001	1:1:1:2	2	سْمِ	سْمِ	ٱسْم	س م و	سمو	N	STEM	STEM|POS:N|LEM:{som|ROOT:smw|M|GEN								GEN
m-w-s048-a000-w002-01	w-s048-a000-w002	1:1:2:1	1	ٱللَّهِ	ٱللَّهِ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN								GEN
m-w-s048-a000-w003-01	w-s048-a000-w003	1:1:3:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s048-a000-w003-02	w-s048-a000-w003	1:1:3:2	2	رَّحْمَٰنِ	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s048-a000-w004-01	w-s048-a000-w004	1:1:4:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s048-a000-w004-02	w-s048-a000-w004	1:1:4:2	2	رَّحِيمِ	رَّحِيمِ	رَّحِيم	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s048-a001-w001-01	w-s048-a001-w001	48:1:1:1	1	إِنَّ	إِنَّ	إِنّ			ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~								ACC
m-w-s048-a001-w001-02	w-s048-a001-w001	48:1:1:2	2	ا					PRON	SUFFIX	SUFFIX|PRON:1P					1		plural	
m-w-s048-a001-w002-01	w-s048-a001-w002	48:1:2:1	1	فَتَحْ	فَتَحْ	فَتَحَ	ف ت ح	فتح	V	STEM	STEM|POS:V|PERF|LEM:fataHa|ROOT:ftH|1P	PERF				1		plural	
m-w-s048-a001-w002-02	w-s048-a001-w002	48:1:2:2	2	نَا					PRON	SUFFIX	SUFFIX|PRON:1P					1		plural	
m-w-s048-a001-w003-01	w-s048-a001-w003	48:1:3:1	1	لَ					P	PREFIX	PREFIX|l:P+								
m-w-s048-a001-w003-02	w-s048-a001-w003	48:1:3:2	2	كَ	كَ				PRON	STEM	STEM|POS:PRON|2MS					2	M	singular	
m-w-s048-a001-w004-01	w-s048-a001-w004	48:1:4:1	1	فَتْحًا	فَتْحًا	فَتْح	ف ت ح	فتح	N	STEM	STEM|POS:N|LEM:fatoH|ROOT:ftH|M|INDEF|ACC								ACC
m-w-s048-a001-w005-01	w-s048-a001-w005	48:1:5:1	1	مُّبِينًا	مُّبِينًا	مُّبِين	ب ي ن	بين	N	STEM	STEM|POS:N|ACT|PCPL|(IV)|LEM:m~ubiyn|ROOT:byn|M|INDEF|ACC			ACT	IV				ACC
m-w-s048-a002-w001-01	w-s048-a002-w001	48:2:1:1	1	لِّ					PRP	PREFIX	PREFIX|l:PRP+								
