morpheme_id	word_id	qac_ref	morpheme_index	surface_ar	stem_ar	lemma_ar	root	root_join_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	gender	number	grammatical_case
m-w-s091-a000-w001-01	w-s091-a000-w001	1:1:1:1	1	بِ					P	PREFIX	PREFIX|bi+								
m-w-s091-a000-w001-02	w-s091-a000-w001	1:1:1:2	2	سْمِ	سْمِ	ٱسْم	س م و	سمو	N	STEM	STEM|POS:N|LEM:{som|ROOT:smw|M|GEN								GEN
m-w-s091-a000-w002-01	w-s091-a000-w002	1:1:2:1	1	ٱللَّهِ	ٱللَّهِ	ٱللَّه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN								GEN
m-w-s091-a000-w003-01	w-s091-a000-w003	1:1:3:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s091-a000-w003-02	w-s091-a000-w003	1:1:3:2	2	رَّحْمَٰنِ	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s091-a000-w004-01	w-s091-a000-w004	1:1:4:1	1	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s091-a000-w004-02	w-s091-a000-w004	1:1:4:2	2	رَّحِيمِ	رَّحِيمِ	رَّحِيم	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN						M	singular	GEN
m-w-s091-a001-w001-01	w-s091-a001-w001	91:1:1:1	1	وَ					P	PREFIX	PREFIX|w:P+								
m-w-s091-a001-w001-02	w-s091-a001-w001	91:1:1:2	2	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s091-a001-w001-03	w-s091-a001-w001	91:1:1:3	3	شَّمْسِ	شَّمْسِ	شَمْس	ش م س	شمس	N	STEM	STEM|POS:N|LEM:$amos|ROOT:$ms|F|GEN								GEN
m-w-s091-a001-w002-01	w-s091-a001-w002	91:1:2:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s091-a001-w002-02	w-s091-a001-w002	91:1:2:2	2	ضُحَىٰ	ضُحَىٰ	ضُحًى	ض ح و	ضحو	N	STEM	STEM|POS:N|LEM:DuHFY|ROOT:DHw|M|GEN								GEN
m-w-s091-a001-w002-03	w-s091-a001-w002	91:1:2:3	3	هَا					PRON	SUFFIX	SUFFIX|PRON:3FS					3	F	singular	
m-w-s091-a002-w001-01	w-s091-a002-w001	91:2:1:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s091-a002-w001-02	w-s091-a002-w001	91:2:1:2	2	ٱلْ					DET	PREFIX	PREFIX|Al+								
m-w-s091-a002-w001-03	w-s091-a002-w001	91:2:1:3	3	قَمَرِ	قَمَرِ	قَمَر	ق م ر	قمر	N	STEM	STEM|POS:N|LEM:qamar|ROOT:qmr|M|GEN								GEN
m-w-s091-a002-w002-01	w-s091-a002-w002	91:2:2:1	1	إِذَا	إِذَا	إِذَا			T	STEM	STEM|POS:T|LEM:<i*aA								
m-w-s091-a002-w003-01	w-s091-a002-w003	91:2:3:1	1	تَلَىٰ	تَلَىٰ	تَلَىٰ	ت ل و	تلو	V	STEM	STEM|POS:V|PERF|LEM:talaY`|ROOT:tlw|3MS	PERF				3	M	singular	
m-w-s091-a002-w003-02	w-s091-a002-w003	91:2:3:2	2	هَا					PRON	SUFFIX	SUFFIX|PRON:3FS					3	F	singular	
m-w-s091-a003-w001-01	w-s091-a003-w001	91:3:1:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s091-a003-w001-02	w-s091-a003-w001	91:3:1:2	2	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s091-a003-w001-03	w-s091-a003-w001	91:3:1:3	3	نَّهَارِ	نَّهَارِ	نَهَار	ن ه ر	نهر	N	STEM	STEM|POS:N|LEM:nahaAr|ROOT:nhr|M|GEN								GEN
m-w-s091-a003-w002-01	w-s091-a003-w002	91:3:2:1	1	إِذَا	إِذَا	إِذَا			T	STEM	STEM|POS:T|LEM:<i*aA								
m-w-s091-a003-w003-01	w-s091-a003-w003	91:3:3:1	1	جَلَّىٰ	جَلَّىٰ	جَلَّىٰ	ج ل و	جلو	V	STEM	STEM|POS:V|PERF|(II)|LEM:jal~aY`|ROOT:jlw|3MS	PERF			II	3	M	singular	
m-w-s091-a003-w003-02	w-s091-a003-w003	91:3:3:2	2	هَا					PRON	SUFFIX	SUFFIX|PRON:3FS					3	F	singular	
m-w-s091-a004-w001-01	w-s091-a004-w001	91:4:1:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s091-a004-w001-02	w-s091-a004-w001	91:4:1:2	2	ٱلَّ					DET	PREFIX	PREFIX|Al+								
m-w-s091-a004-w001-03	w-s091-a004-w001	91:4:1:3	3	يْلِ	يْلِ	لَيْل	ل ي ل	ليل	N	STEM	STEM|POS:N|LEM:layol|ROOT:lyl|M|GEN								GEN
m-w-s091-a004-w002-01	w-s091-a004-w002	91:4:2:1	1	إِذَا	إِذَا	إِذَا			T	STEM	STEM|POS:T|LEM:<i*aA								
m-w-s091-a004-w003-01	w-s091-a004-w003	91:4:3:1	1	يَغْشَىٰ	يَغْشَىٰ	غَشِيَ	غ ش و	غشو	V	STEM	STEM|POS:V|IMPF|LEM:ga$iya|ROOT:g$w|3MS	IMPF				3	M	singular	
m-w-s091-a004-w003-02	w-s091-a004-w003	91:4:3:2	2	هَا					PRON	SUFFIX	SUFFIX|PRON:3FS					3	F	singular	
m-w-s091-a005-w001-01	w-s091-a005-w001	91:5:1:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s091-a005-w001-02	w-s091-a005-w001	91:5:1:2	2	ٱل					DET	PREFIX	PREFIX|Al+								
m-w-s091-a005-w001-03	w-s091-a005-w001	91:5:1:3	3	سَّمَآءِ	سَّمَآءِ	سَمَآء	س م و	سمو	N	STEM	STEM|POS:N|LEM:samaA^'|ROOT:smw|F|GEN								GEN
m-w-s091-a005-w002-01	w-s091-a005-w002	91:5:2:1	1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								
m-w-s091-a005-w002-02	w-s091-a005-w002	91:5:2:2	2	مَا	مَا	مَا			REL	STEM	STEM|POS:REL|LEM:maA								
m-w-s091-a005-w003-01	w-s091-a005-w003	91:5:3:1	1	بَنَىٰ	بَنَىٰ	بَنَىٰ	ب ن ي	بني	V	STEM	STEM|POS:V|PERF|LEM:banaY`|ROOT:bny|3MS	PERF				3	M	singular	
