left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0149	P0383	0.662944	0.564776	0.620981	0.914514	1.0	0.777778	0.75	mutual_knn
P0742	P0830	0.661961	0.549559	0.613312	1.0	1.0	0.714286	0.666667	mutual_knn
P0132	P0329	0.661217	0.595904	0.589878	0.866031	1.0	0.777778	0.75	mutual_knn
P0658	P1148	0.655253	0.561998	0.642447	0.774971	1.0	0.8	0.75	mutual_knn
P0198	P0253	0.652262	0.557982	0.608002	0.883697	1.0	0.777778	0.75	mutual_knn
P0061	P0119	0.650612	0.588081	0.618166	0.696179	1.0	0.777778	0.75	mutual_knn
P0591	P1118	0.6487	0.554215	0.641859	0.871525	0.875	0.8	0.75	mutual_knn
P0299	P0355	0.648382	0.551966	0.59734	0.909284	1.0	0.777778	0.75	mutual_knn
P0046	P0062	0.648361	0.556227	0.591801	0.909284	1.0	0.777778	0.75	mutual_knn
P0239	P0371	0.648317	0.557594	0.589919	0.909284	1.0	0.777778	0.75	mutual_knn
P0100	P0198	0.647502	0.55629	0.602609	0.862587	1.0	0.777778	0.75	mutual_knn
P0356	P0359	0.647245	0.554659	0.603972	0.862587	1.0	0.777778	0.75	mutual_knn
P0012	P0383	0.646871	0.573455	0.612178	0.745539	1.0	0.777778	0.75	mutual_knn
P0055	P0165	0.645774	0.579568	0.610189	0.714023	1.0	0.777778	0.75	mutual_knn
P0355	P0409	0.645382	0.554592	0.598734	0.862587	1.0	0.777778	0.75	mutual_knn
P0040	P0043	0.644991	0.556402	0.589258	0.883697	1.0	0.777778	0.75	mutual_knn
P0033	P0290	0.643845	0.535127	0.580109	1.0	1.0	0.7	0.666667	mutual_knn
P0220	P0352	0.643719	0.568552	0.571239	0.879374	1.0	0.777778	0.75	mutual_knn
P0818	P1191	0.643638	0.57046	0.619251	0.826939	0.875	0.8	0.75	mutual_knn
P0293	P0311	0.643325	0.57808	0.627956	0.63405	1.0	0.777778	0.75	mutual_knn
P0186	P0292	0.642545	0.584104	0.606496	0.674244	1.0	0.777778	0.75	mutual_knn
P0207	P0401	0.641372	0.547003	0.593579	0.874678	1.0	0.777778	0.75	mutual_knn
P0227	P0483	0.640647	0.545437	0.596975	0.862587	1.0	0.777778	0.75	mutual_knn
P0177	P0249	0.640449	0.570462	0.60036	0.736153	1.0	0.777778	0.75	mutual_knn
P0015	P0025	0.640138	0.532788	0.572525	1.0	1.0	0.7	0.666667	mutual_knn
P0811	P1192	0.639522	0.538001	0.632833	0.759298	1.0	0.8	0.75	mutual_knn
P0603	P1110	0.638996	0.555538	0.635034	0.792426	0.875	0.8	0.75	mutual_knn
P0876	P1086	0.638902	0.53509	0.626799	0.787313	1.0	0.8	0.75	mutual_knn
P0784	P1289	0.638474	0.58163	0.584435	0.846885	0.875	0.8	0.75	mutual_knn
P0032	P0165	0.638312	0.548241	0.572616	0.911875	1.0	0.777778	0.75	mutual_knn
P0425	P0495	0.638203	0.559366	0.617816	0.702525	1.0	0.777778	0.75	mutual_knn
P0076	P0154	0.637952	0.54162	0.594184	0.862587	1.0	0.777778	0.75	mutual_knn
P0212	P0245	0.637508	0.547067	0.584927	0.866031	1.0	0.777778	0.75	mutual_knn
P0036	P0108	0.637251	0.540692	0.593375	0.862587	1.0	0.777778	0.75	mutual_knn
